sentence,classification
"I know one thing that we really have never touched as a city is the pay as you throw issue, what a lot of other places have, And that's where people actually get a bill for their waste every single month, so that they know exactly what it is they're paying for.",x
And the resources that people sort of take advantage of or not even.,x
"well, they take advantage of them but it's sort of given to them sort of for free.",x
"Just even having, like, your bulk couch carried away is something that you know, people just take for granted.",x
"I think sometimes, Yeah, And it's something that people just don't have in their mind in our city, as you know, the true cost of waste, the true cost of recycling, the true cost of having these volunteers come and help to clean up, And I feel like that's one thing we can possibly consider and it also is something that can actually bring resources directly into DPW for, you know, for waste.",x
I really don't know any other way to make people care about this issue.,x
"I think it's really important that we think about this issue on the individual level, until they actually see how it's impacting them, beyond just seeing it, you know, in front in their front yard and saying, oh, maybe I'll get it tomorrow.",x
"And until there is something that is a carrot for them to help to incentivize them on an individual level, and then there is a stick behind it that says that at some point, if you keep letting it go, that it's going to catch up with you.",x
I don't know what else we can do.,x
"You know, We can send out the flyers, We can do the education, We can do the community meetings, We can, you know, put the volunteer forces together, We can do the cleanups on a monthly basis, But until somebody knows how it's impacting them- and usually, unfortunately, it has to be impacting them to their pocket- it's really difficult to actually try to change this and to push this forward.",x
"So I think the thing that we can do is to look at other places that they're doing waste more successfully and we can try to implement those policies, And one of the ones that we never want to talk about tends to be the pay-as-you-throw issue.",x
"Yeah, I mean, I think you hit on something that is another bee in my bonnet here constantly is looking at other areas and seeing how they do anything.",x
"You know, I think we have a About rewards.",x
What's that?,x
"Rewards And they keep their area clean, Yeah, Yeah, Yeah, Rewards.",x
"Rewards, Oh, sorry, Sorry, Okay, Rewards Like to the area at least have a big reward, Maybe at the end of the year or something they would appreciate, a group dinner or something, Some kind of a reward.",x
"I don't know exactly, But maybe I was just thinking like, if they live in a high-rise or even a community, have a reward for them, like a big dinner or a gift card for the ones that keep their areas clean.",x
"That would be more, That would be the Yeah, Yeah, That would be the incentive, Something like a reward You would have to come up with the idea of.",x
"And the money: Yeah, I'm thinking because what we used to do in my high-rise once a year to give the tenants.",x
"So, Janet, we do need to continue with the interview.",x
I'm sorry to interrupt you.,x
"I apologize, I'm sorry, You know what.",x
I guess that actually does lead me to one other point there.,x
The Clean Pittsburgh Commission used to do the Bob Awards.,x
We still do them.,x
"You still do the Bob Awards, Yeah, every year.",x
"Okay, Can we find out about when they're happening?",x
"Yeah, We're planning it right now And how we can celebrate the?",x
"Yeah, So we do the Bob Awards every year.",x
That's following the waste cleanup that we do.,x
It's the community.,x
"My brain right now is spacing on the name of the event, But we're getting ready to gear up for planning it again this year.",x
So we get all the communities together.,x
They compete.,x
"Green Olympics, Thank you.",x
"Garbage Olympics, Thank you.",x
"Sorry, My brain was spacing.",x
"And then, as part of the Garbage Olympics, we have the Bob Awards.",x
That's what follows.,x
"that, basically, We reward everybody that helps and that partners with the Green Olympics, which is our annual event to help clean up our community.",x
And then we have the Bob Awards.,x
"that not only recognizes the people that participate in that event, but the people who all year long, are champions in cleanup?",x
"Yeah, I'll have.",x
"you know that last year, the top three neighborhoods that won Garbage Olympics all came from my district.",x
Oh wonderful.,x
And I have been on the winning team of the Garbage Olympics over the last three years.,x
"So between multiple neighborhoods, Absolutely.",x
"But yeah, All right.",x
"Anyway, that being said, I want to continue talking about this.",x
"Like I said, I'm very impassioned about this.",x
"So, thank you, No problem, Thank you.",x
"Thank you, Councilman Coghill.",x
do you have any?,x
"I'll be brief, because I know we have to start our meeting, don't we?",x
"Well, there's two things.",x
"One, we have to start our regular meeting, but we're experiencing sound problems, Oh, And so our sound isn't working on Zoom or YouTube right now, Right, So we're going to have to do something about that.",x
We're going to have to do something about that.,x
So we're going to have to do something about that.,x
But I think it's important for us to try to get it to work.,x
"They have to hard reset the system, So we're going to need at least a five-minute break between our pre-agenda and our regular agenda.",x
"Gotcha, So you want me to finish up?",x
"Yes, Any questions I have?",x
"Briefly, Okay, Thank you, I appreciate that And I'm sure our viewers will be glad to not hear me.",x
"if that's the case, All right, So I'm sorry.",x
So it's Ms Giles Giles Giles.,x
"Okay, I didn't know if it's Giles or Giles Giles.",x
are you currently an employee of City?,x
"Yes, Okay, What department are you in City Planning?",x
"Oh, okay, You're in Planning.",x
"Okay, So the Clean Pittsburgh Commission- how many people are on there, Do you know?",x
"Oh gosh, So it fluctuates from year to year.",x
"I think right now we have about seven people, Seven, Okay, And we're looking for more.",x
"So, Right, right, I know very well the Garbage Olympics- And I'll remind my colleague over here that Carrick actually used to clean house every time- And yeah, So we're probably going to have the cleanest side of the river, I think, if we can, And we're going to continue doing what we're doing.",x
"But let me just put it to you bluntly, as I see it, I take it upon myself.",x
"I bought vests, We have signage, We just picking trash up right alongside, especially the streets that come into my district.",x
"It's like the first thing I see, And I'm sure visitors or people who are not from the area, it's probably the first thing they see too.",x
"Right, Yeah, I notice it when I'm in other neighborhoods or wherever I'm at, And I'm very much in line with Councilman Sharland here, where you know it's like.",x
that's why I took it in my own hands.,x
"I'm like, oh my God, it's so filthy.",x
"But I will say this: I have been working with our public works Director Hornstein, our two directors, John McCory- or not directors, what are they called Supervisors, John McCory and Jeff Cook, who both split my district, And I think it's been working great.",x
I get the volunteers.,x
They pick up what's seen alongside these roads- And I'm going to just take a typical road.,x
"It's probably six large, eight, six to ten large bags of- you name it right- everything from diapers to Gatorade bottles to you name it.",x
And public works come along and they also do that work as well.,x
So I really feel like we have gotten my district very clean in just a three week period.,x
So my point is: it's cheap to clean.,x
It really is.,x
"You know, I know there's trucks involved And you know public works come out with their trucks And they have their dump truck and throw things in the back.",x
"But you know we're talking about gas and labor, some on public works.",x
But if you get volunteers you can really do it very inexpensively.,x
"It's a matter of some garbage bags, some gloves and the will.",x
"It really is, But you can comment after I'm done.",x
"Okay, That being said, I'm really proud as to what we've cleaned up so far, And again it's in partnership with public works, But 70 percent of the trash is not being picked up.",x
It's down over the hill.,x
You know It's stuff that public works isn't going to go down there.,x
Maybe they would.,x
I doubt it.,x
I'm talking.,x
you know dangerous hills and you can just see it.,x
"So 70 percent is down over the hill, whether it's blown down there over the years or you name it.",x
We need- I don't know if- public works- I haven't talked to Director Huenstein about this at all yet- But we almost need special crews.,x
"I'm going to call them like the over the hill gang, Not meaning age, But you know- to go down over these hills- And I'm talking, you know, I estimate I'm a, I'm a contractor, So I got a good idea as to what it would take I'm guessing six people over each of these so-called hills.",x
I got probably ten of them that I know about.,x
"It'll take them six people, probably most of the day.",x
"You know Everything from tires, bigger stuff down there.",x
That's where people illegally dump.,x
you know things like that.,x
"So each site is very different, But we need serious resources And I won't be happy until we get that deep clean, until I know I'm getting stuff that you can't see when you're driving by the car.",x
You know We're getting this stuff that you can't see.,x
"That's easy enough with volunteers, I feel in public works, But it's this stuff down over the hill that's been there for years and years And it's dumping debris And again it will take almost a full day for four or five people in each one of these sites that I'm thinking about.",x
"So now I'll know it's a deep clean And then we put up stiff fines and penalties for people that litter, Because one thing I hate is cleaning it up and seeing it back.",x
So Okay With that.,x
"I'm sorry, Ms Johnson, I didn't mean to go on, But I just wanted to give you my full perspective before, Because we're going to probably try to wrap things up here And if you want to comment, please do.",x
"Ms Sure, I think part of the issue is that people do feel that it is cheap to clean, But it's not cheap to clean.",x
"It's costing people a lot and you know, and mental stress, And it costs a lot in their time.",x
So every single one of those volunteers.,x
"if you actually had to pay them to do the work that they're doing, you would see very quickly that it is not cheap to clean.",x
"And you're talking about sending people over hillsides, Which some of these volunteers take it upon themselves to do, And you're asking our DPW staff to do.",x
"And that's not cheap either, Because they're like you said, they're dangerous, steep hillsides And a lot of the trash that falls there and a lot of the trash that people and our volunteers are cleaning up are dangerous things.",x
"You're talking about needles, You're talking about glass, You're talking about weird broken car parts and oil and who knows what that's been dumped.",x
"Mr, Dangerous sides of roads, Ms, Exactly, It's dangerous stuff that puts people at risk.",x
"And, like you said, And I think next week, because people have it in their minds thinking that it's cheap to clean and that it's- oh, somebody else will get it- That they just put it back and leave it on the side- Oh, somebody else will get it, Or that's what I pay them for- is another thing that we often hear.",x
"There have been actual times where I've been part of volunteer crews, Whether it's with just my own time or Girl Scouts, Because I used to be a Girl Scout leader, Where my kids are out there helping to clean up as a community thing, And then somebody literally throws something in front of us and says, oh, it'll keep you in business, It's not cheap to clean.",x
"And I think that that's one of the perceptions that we have to change In Pittsburgh- among ourselves, among our staff and among our communities: that it costs us a lot to not keep our communities clean.",x
"And, like you said, it's a visitor's nightmare to come in, to think that they're coming to this great, beautiful city.",x
"They come through the tunnels, They see this beautiful skyline And then they get into the city or they get into the communities and they're thinking like I'm not sure that I want to move here Because it looks dirty And that's costing us people as well, Ms.",x
"Yeah, And it's costing us.",x
It could be costing us business.,x
So I think that part of the mentality shift that we have to come to is that it's not cheap to clean.,x
"We do have to put resources into it, It's going to cost us time, It's going to cost us effort, And the more that we put into it on the front end will save us in the back end.",x
We shouldn't be on the defense with this issue anymore.,x
"We should be hopefully get to the point, like you said, where we're on the offense of it, Where we're cleaning it up, We're doing the deep dive, And it's not coming back the very next week or sometimes the very next day.",x
"And it's not just the people that are in the city, Pittsburgh, that are just dumping the trash.",x
"Sometimes it's the people that are going through who are just like, oh, here's a good place.",x
"They leave it off and then they go back to where they came from, You know, Because it's a place that they're used to coming.",x
"But I don't want to keep you guys, Mr.",x
"No, that's fine, That's fine.",x
"Ms Yeah, Mr, We are on the offensive in the fourth district.",x
"I will tell you, Ms Yeah, Mr, It's been for two, three years now for me, Ms Yeah, Mr, I've started this.",x
"This is two, three years ago.",x
"We took a more aggressive approach this year because, like Councilman Sharland, I'm like: oh my gosh, And it is partly just because of vegetation.",x
"The snow is gone, The ice is gone.",x
"There it is, It's been there all the time.",x
We just haven't noticed it And we're not going to notice it once it grows over either.,x
So I have focused on main roads right now.,x
"what I can see, The deeper dive I want to do in the winter, after the vegetation goes, of course.",x
"You know, poison ivy.",x
you can't see it.,x
There's a lot of reasons why not to go over there now.,x
For now I'm doing the visual zone And I will disagree with you on it is cheap to pick up garbage.,x
It really is.,x
I know the.,x
"I don't get estimates or stats from the director as to how many people are picking up garbage, How many hours, like his folks have, But they work for the city of Pittsburgh, right.",x
"We're utilizing them, in which I know Director Horenstein supports picking up garbage, Right.",x
"So when they're doing that, that means they're not doing something else.",x
We have to keep that in mind too.,x
I do keep that in mind.,x
"But you know, what to me is more important than anything on their docket is picking up rubbish on the sides of the road.",x
That's the most important thing to me.,x
There's nothing more important than being clean and safe and sterile.,x
"Okay, So you'll come to my district and I'll show you routes that I picked up.",x
and you have done it for nothing.,x
I've done it for nothing.,x
I have volunteers.,x
"Some volunteers I force, but I have volunteers and you know public works come by the only pay, the only expense that we have, is in public work employees, whatever time they come to pick up this stuff, And I have big stuff.",x
So I'm not saying that there's not an expense there.,x
"But if we compare that as to what this city spends on other things, it's a drop in a bucket.",x
It is cheap to clean.,x
Cleaning is cheap.,x
I don't want you know us to spend resources or financial means on anybody.,x
really I don't think we need to.,x
I have so many volunteers in my district.,x
I feel like it's just a matter of keeping them safe.,x
"But you're right, When you get them over the hills, that requires- and again, I haven't talked to the director about this, but that requires serious man hours, Okay, And serious time commitment.",x
"But it needs to be done, I hope by winter.",x
I hope the director and I could get something formulated there where it's our employees actually cleaning it with volunteers.,x
But you know I hesitate to send volunteers down over the hill.,x
"So okay, that's it for me.",x
"Mr President, Thank you very much.",x
"You've worked for the city for a long time now, So I'm very familiar with your work.",x
I'm grateful for your willingness to both serve the city in your formal capacity as well as your work on the.,x
"I'm very grateful for your willingness to both serve the city in your formal capacity as well as your work on the commission, And so I really just thank you for being here.",x
I thank you for answering all of members questions And I thank you for your willingness to serve.,x
Your appointment will come up for a formal vote next week.,x
"We were not allowed to say how we'll vote now, but I believe it'll be more than favorable.",x
"Should be all right, You should be all right, Good way of saying it.",x
"With that, we've exhausted the business of this interview and therefore this meeting is adjourned.",x
"Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you for the great á committee public: Wednesday April 9, 2025.",x
"thank you, May I have a Shot?",x
mr Coghill here.,x
miss gross here.,x
"mr LaValle, mr Mosley, mrs Kells Smith.",x
miss Warwick here.,x
"mr Wilson, miss Strasburger, chair here.",x
"five members present, thank you, and we do need to waive the rules of council.",x
waive rule three to.,x
regarding start time.,x
can I get a motion to waive the rules?,x
so move all those in favor.,x
"aye, rules been waived.",x
our next order of business is public comment.,x
"I would like to remind all speakers that the rules of council state that count that comments are limited to matters of concern, official action or deliberation which are or may be before City Council, and profanity will not be permitted.",x
please state your name and neighborhood for the record.,x
you will have three minutes to speak.,x
the first registered speaker is a Sasha of men afield.,x
Sasha men afield.,x
do not see them here.,x
wait.,x
are there any way?,x
are there any speakers wishing to come to the podium?,x
"good morning, my name is your father at Brown.",x
I live at San Francisco.,x
"I'm a senior at 715 Mercer Street, that's up at the top of the hill.",x
this morning I've wanted to bring- I wanted you to see- the Pittsburgh Courier- and this is from March the 18th through the 25th- as it says that the nwacp president of our branch here in Pittsburgh has resigned.,x
they're saying that we don't have that much membership.,x
now I myself I had been a member of the nwacp and I let it slack.,x
"let it slack, but I will be joining it again.",x
"citizens, and for the ones that are watching, you know we need the nwacp, especially now, but I myself feel that if it wasn't for the nwacp, we wouldn't have some of the freedoms that we have, because we don't have that that much now.",x
"the other thing, another thing I didn't plan on talking about the mayor, but when I see this, this is what I want people to look.",x
see this paper.,x
the city paper says freedom first versus free fear.,x
"you see this: freedom versus fear, and I'm going to show you why.",x
look a bit more again.,x
look how black they made him.,x
"anytime you want to make something look evil or dirty or something to be up, you make him blacker than what he is.",x
now you got your Cory.,x
look at Cory.,x
you got his white face and he's in color.,x
they didn't make him dark like they made the mayor.,x
"when I talk about colorism, that's what I'm talking about.",x
"anytime you're dark, a lot of times you're looked at as being evil.",x
something's wrong with you.,x
"that's why they took the slaves from Africa and brought them over here and beat us and made us what we are, because we're mixed race, because you're white slave owners who were the dregs of the, the prison.",x
you know they.,x
"they let them a lot, a lot of them go.",x
"they were prisoners, they were criminals and then they put them over.",x
"black people, black, well, we used to be called colored or negro, but now we say the color black.",x
"we're not black like this, not black like the color black, but they say that we are.",x
I can remember my daughter.,x
"I have my husband's light complected, so I had one daughter, Nikki, that she's really a real reddish color.",x
"when she was little, Carmen, who was dark like me, said I'm brown and you're orange.",x
"and if you look like, if you had looked at her, she did look orange.",x
I went to work and I was saying that said with my grandbaby what my daughter said.,x
"well, yeah, the white lady took me in the bathroom and she said: you take this piece of paper and put it up against her and tell her that's not orange.",x
"I said: when you take the white piece of paper and put it up against your baby, that's not white.",x
"well, I'll do the same.",x
thank you.,x
"this racism, colorism, next speaker, please.",x
good morning afternoon.,x
"I don't know which one of these special agents, sunshine, I return to send her any voodoo hexes curses, you guys sending me 100 million, billion, trillion google plex.",x
y'all are having court sessions without me being present.,x
it's amazing.,x
"so that means the postal service is being bribed, judges are being bribed, lawyers are being bribed so to pervert the course of justice.",x
so what?,x
I don't get what belongs to me.,x
y'all still having meetings trying to kill me.,x
so I don't get what belongs to me.,x
"really, God's not having it.",x
I promise you he's not.,x
some.,x
715 says: whoever digs a hole and scoops it out falls into the pit they have made.,x
"so whatever hole y'all trying to dig for me to put me in, get ready to go into it yourselves, because what God has for me, it is for me.",x
It's written for me to have what was taken from me and y'all have to give it to me.,x
You can keep delaying it.,x
"The longer you do, the more people are going to get sick and pass away.",x
Don't believe it.,x
Just watch.,x
Whatever you acquire outside of God's will eventually turns to ashes.,x
Remember this: It's ashes to ashes and dust to dust.,x
That's what that's talking about.,x
"Let me pray, Lord, show me anything I've used to find meaning apart from you.",x
"Give me the freedom to lay it all at your feet Right now in my life I'm pursuing only him, not a relationship, not a man.",x
I refuse to live under the counsel of you guys because you're not my man.,x
I refuse to live under the counsel of you guys.,x
You guys are ungodly.,x
"I will never do that, ever.",x
Psalm 5 through 6 says: The arrogant cannot stand in your presence.,x
You hate all who do wrong.,x
You destroy those who tell lies.,x
"The bloodthirsty and deceitful you, Lord, detest.",x
It's just so amazing how bad you guys want me dead.,x
I'm going to keep shining a light on it and God is going to love me.,x
I'm going to make sure that I stay alive and come here and show you that your voodoo you're sending towards me is not working.,x
Why?,x
"Because what belongs to me, what he has for me, it is for me And you have to give it to me.",x
I forgive all of you.,x
"I don't hold anything against any of you, But you better stop doing voodoo, because he's going to take y'all out, one by one.",x
"in Jesus' name, Amen.",x
Thank you very much.,x
Are there any further speakers Seeing none.,x
we will now move on to our standing committee's agenda.,x
Our first committee is the Finance and Law Committee.,x
We have deferred papers: Bill 1634.,x
Bill 1634 resolution repealing an item in Resolution No 512 of 2022.,x
effective date: September 23 2022.,x
In order to rescind the sale.,x
Motion to hold for one week Second Discussion: Seeing none.,x
"All those in favor of a one-week hold: please indicate by saying aye, Aye, Bill will be held for one week.",x
"Madam Clerk, can we please read Bill 1667 and 1691 together: Bill 1667 resolution authorizing the issuance of a warrant in favor of Muhammad Bernie for tuition reimbursement for an amount not to to exceed 33,292 over one year, And.",x
"Bill No 1691 resolution transferring the amount of 33,292 within the 2025 operating budget from City Council Districts salaries and wages regular to City Council Districts employee benefits for the purpose of tuition reimbursement.",x
Question: I'll hold two weeks Second Discussion.,x
"All those in favor of a two-week hold please indicate by saying aye, Aye, Aye, Aye, Bill will.",x
Bills will be held for two weeks.,x
Bill 1675.,x
"Bill No 1675 resolution providing for the sale of certain property in the 23rd Ward in the First Council District of the City of Pittsburgh, acquired by the City of Pittsburgh at tax sale.",x
Motion to hold two weeks Second Discussion: Seeing none.,x
All those in favor of a two-week hold: please indicate by saying aye.,x
Second Be a hold.,x
"Please indicate by saying aye, Aye, Aye, Aye, Aye.",x
All those in favor.,x
"Aye, Bill 1675 will be held for two weeks.",x
New papers: Bill 1687.,x
"Bill 1687 resolution authorizing the issuance of a warrant in favor of the County of Allegheny in an amount not to exceed 13,647 over one year in full.",x
and final settlement of a claim for damage to the glycol line sidewalk heating system at the Allegheny County Courthouse by Domi Traffic Division during sign replacement.,x
Motion to approve the claimzgcom replacement on the Forbes Avenue sidewalk area of the courthouse on December 3rd 2024.,x
Second Discussion: Seeing none.,x
"all those in favor of Bill 1687, please indicate by saying aye, Aye, Aye.",x
Affirmative recommendation.,x
That moves us on to invoices.,x
Do we have a motion on invoices?,x
Second Discussion: Seeing none.,x
"all those in favor of invoices, please indicate by saying aye, Aye, Invoices are approved.",x
That moves us on to P cards.,x
Do I have a motion on P cards?,x
Motion to approve.,x
Second Discussion: Seeing none.,x
"all those in favor of P cards, please indicate by saying aye, Aye, P cards are approved.",x
That moves us on to public safety and water.,x
"Second Begum hockey proverb: Aye, Council, Gotcha Secrets, Any questions?",x
So moved by.,x
"presented by mayor, inflammatory Kite vote.",x
Begum hockey.,x
The Republican Council.,x
"go ahead, please.",x
The yaş biazioni.,x
most3 Bill symbolizes this meeting.,x
"Go ahead, Mrs.",x
I scroll down.,x
Regulatory purposes of the approvede of pavilll prescro.,x
"I'm sorry, Thank you.",x
"Discussion: Not really, Is that the request of the Public Safety Director Seeing none.",x
"All those in favor of a three-week hold on Bill 1531, please indicate by saying aye, Aye, Bill will be held for three weeks.",x
"That moves us on to Public Works and Infrastructure Committee, chaired by Council Member Warwick.",x
Bill number 1689.,x
"resolution amending Resolution 803 of 2024, entitled Resolution authorizing the Mayor of the City of Pittsburgh and the Director of the Office of Management and Budget to apply for a grant from the Pennsylvania Department of Economic Development's Multimodal Transportation Fund for the Penn Avenue Lighting Project.",x
"The grant proposal includes an ask of 461,856 for this stated purpose, to accept the grant, reduce the grant amount and authorize necessary expenditures.",x
Motion to approve Second Discussion.,x
"Aye, I do have a question about this, if there's someone present.",x
Thanks.,x
"Should be a pretty quick and easy question, but feel free to introduce yourself, Patrick Cornell, Chief Financial Officer.",x
Thank you.,x
"So forgive me for not looking into this further beforehand, but I know that if all goes well, we'll have a citywide LED lighting project completed.",x
"Is this the same type of lighting, Is it different, Or is this just going to help defray the cost of that in some way?",x
That is a good question.,x
I don't have that answer off the top of my head.,x
My understanding is that this is different and separate from the street light project as a whole.,x
"But I do not have the answer, but I can get it.",x
"Okay, I see Director Lucas here.",x
"We can put her on the spotlight immediately if she knows the answer, Really.",x
Okay.,x
So this is related to Penn Avenue Lighting Project.,x
I don't know if you can come in.,x
"Ooh, a little tech lag between the third floor and the fourth floor.",x
"Yes, yes, And I will use this opportunity to say: we realize that there has been a.",x
there are some technical issues.,x
"We believe it is a Zoom update issue, but we're not sure.",x
But you should be able to watch it via cable on YouTube right now.,x
"even if it's not, the Zoom isn't completely working correctly.",x
"So apologies to everyone, I'm sorry, I'm sorry, I'm sorry.",x
"Okay, So I'm going to turn it over to the next one who might be tuning in, And I also see Councilwoman Gross raising her hand, So maybe we'll start with an interrogatory there and then see if the question's answered.",x
"Oh no, you want to sorry, sorry, sorry, Yes, please.",x
You don't want to answer.,x
"You want to ask your own question, Please.",x
So my question is Director Lucas.,x
Penn Avenue Lighting.,x
it's uncontroversial.,x
It's a grant proposal for 461.,x
This is Bill 1689 Mm-hmm For the Penn Avenue Lighting Project.,x
"Okay, Which is great.",x
"You know, no issue always looking for more funding.",x
"I was just curious if this is to defray the cost of the LED streetlight, Like if this is the same kind of lighting as the citywide LED project, or how is this distinct and like?",x
why is this separate then from that whole project?,x
"Sure, It's an opportunity to enhance that particular business district with additional lighting, like we see in some other corridors, for safety and economic development purposes.",x
So it will go to support.,x
So it's a great opportunity to do that.,x
"And then, if we can't support our project, we didn't want to necessarily divert funds from our base level lighting designs that we have citywide And this was in partnership with the East Liberty Corridor.",x
Chamber of Commerce Got it.,x
"So this is an enhancement, Okay, Mm-hmm, Thank you.",x
That's all I had.,x
"Council Member Gross, Thank you.",x
"Penn Avenue is a very, very long corridor right from downtown to the edge of the city, So I was kind of wondering which part of the project this is.",x
I'm not sure.,x
I'm not sure.,x
I'm not sure.,x
"Okay, So this is for an eight-block stretch and it'll include 96 lights in the main business corridor.",x
"It's from Spirit at the busway to Negley, So mostly District 9 with— Spirit Street.",x
"Spirit Street at the busway through Negley- Yes, Mostly District 9 with the one block— See right back at the —part in District 8 that Scott McMurtry has so graciously reminded us is part of District 8.",x
"Okay, Got it.",x
So the East Liberty Business District.,x
That was my question.,x
"That's all, Thank you.",x
Thank you.,x
Any further questions?,x
discussion?,x
"Councilman Mosley, I just want to thank Domi for your partnership.",x
I was on those emails and I think in an initial meeting we had upstairs to pull together the Chamber of Commerce and the other stakeholders within the East Liberty Business District.,x
So it's good to see this move forward and thank you for your partnership.,x
"Thank you, All right Seeing.",x
no further discussion.,x
"all those in favor of Bill 1689, please indicate by saying aye, Aye, Opposed, Opposed Abstentions: Affirmative recommendation.",x
Thank you both.,x
That moves us on to Bill 1690.,x
"Bill 1690 resolution amending Resolution 133 of 2024, entitled Resolution authorizing the Mayor and the Director of the Department of Public Works to enter into an agreement or agreements or the use of existing agreements between the City of Pittsburgh and Paschak Plus MTR for the professional design services for the Fort Pitt Park Phase I improvements at a cost not to exceed 300,000.",x
"00 By increasing the total city cost of 115,170.",x
"00 for a new total city cost not to exceed 415,170.",x
00 over one year.,x
Motion to approve.,x
Second Discussion Seeing none.,x
all those in favor of Bill 1690 please indicate by saying aye Aye.,x
Affirmative recommendation: That moves us on to Integrated Request of the Board of Trustees: Any discussion: No.,x
All those in favor of Bill 1690 please indicate by saying aye Aye.,x
Second Discussion.,x
Second: Any discussion.,x
Any discussion.,x
Any discussion.,x
I will move the bill on to Intergovernmental and Educational Affairs Committee chaired by Councilman Moseley.,x
I skip.,x
innovation and performance.,x
Is that what you want?,x
"Oh, Yeah, we have one.",x
"I must have, I apologize.",x
"Yeah, innovation and performance.",x
"Oh yeah, You're right, We have to do.",x
"yeah, Okay, I'll work off of- if I could work off of- a paper version, Apologies, Okay, So the.",x
So the motion.,x
"Okay, The motion is now approved.",x
We are ready to move to the next meeting.,x
"Okay, Apologies, So The committee's at the bottom.",x
So I have Intergovernmental Educational Affairs Committee.,x
Do you have one.,x
that's innovation.,x
Innovation.,x
I don't have any papers.,x
I don't have innovation.,x
"Oh, you're right.",x
What's this?,x
We have different agendas.,x
They gave us a new agenda.,x
"Yeah, you weren't here.",x
They switched the agendas So it was different.,x
I'm working off of an agenda that was set at 9.,x
52 am.,x
"There's a new one, if you want.",x
"No, I don't think so.",x
"No, Okay, So I have an agenda.",x
I don't have a agenda.,x
I don't have a agenda.,x
I don't remember there being a new paper last week.,x
"Okay, So we'll move on to Intergovernmental and Educational Affairs Committee, chaired by Councilman Mosley.",x
Bill number 1723.,x
"resolution authorizing the City of Pittsburgh, the Director of Public Works and the Director of Finance to enter into an easement agreement or agreements with Duquesne Light Company and Pittsburgh Water To provide, install, use, own, operate, maintain, repair, renew and finally remove one pole anchor upon city-owned property, six poles, five anchors and overhead wires upon city-owned property collectively the DLC assets.",x
to manage vegetation on a parcel in the vicinity of the DLC assets and to perform landscaping in the vicinity of the DLC assets at no cost to the City.,x
Motion to approve.,x
Second Discussion: Second Seeing: none.,x
"All those in favor of Bill 1723 please indicate by saying aye, Aye, Opposed Abstentions.",x
Affirmative recommendation.,x
New papers: Bill 1681.,x
"Bill 1681 resolution authorizing the issuance of a warrant payable in favor of the Pennsylvania Municipal League for one year subscription in an amount not to exceed 52,962.",x
24.,x
Motion to approve.,x
Second Discussion- Seeing none.,x
"All those in favor of Bill 1681, please indicate by saying aye- Aye.",x
Affirmative recommendation: Bill 1682.,x
"Bill 1682 resolution providing for the issuance of a warrant in favor of the Pennsylvania Public Utility Commission in the amount of 72,500 for delinquent debts owed by the City of Pittsburgh for 811.",x
damage prevention calls.,x
Second Discussion.,x
Second Discussion Seeing none.,x
"All those in favor of Bill 1682, please indicate by saying aye- Aye.",x
Affirmative recommendation.,x
"Bill 1683 Resolution repealing Resolution 366 of 2019, effective June 14 2019, authorizing the Urban Redevelopment Authority of Pittsburgh to acquire all the city's public housing and residential facilities.",x
"Second Discussion- Abstentions: Aye, Opposed.",x
Abstentions- Opposed.,x
"Opposed, Opposed, Opposed, Opposed, Opposed.",x
"The design and disposition of the property will be designed to acquire all the city's right, title and interest, if any, and into the publicly owned property in the 15th Ward City of Pittsburgh, designated in the deed registry office of Allegheny County as Block 56B, lot 345, Council, District 5, at no cost to the city.",x
Motion to approve.,x
Second Discussion- Seeing none.,x
All those in favor of Bill 1683.,x
"please indicate by saying aye, Aye.",x
Affirmative recommendation.,x
Bill 1684.,x
"Bill 1684 resolution approving execution of a contract for disposition by sale of land Between the URA of Pittsburgh and a Pittsburgh land bank for the sale of block 10 J, lots 259 to 260 in a fifth Ward City of Pittsburgh, Aaron Street, council, district number six, at no cost to the city.",x
motion to approve discussion Seeing none.,x
"all those in favor of bill 1684, please indicate by saying aye, Aye, Aye.",x
affirmative recommendation.,x
bill 1685.,x
"bill 1685 resolution approving execution of a contract for disposition by sale of land between the URA of Pittsburgh and Island Avenue Holdings LLC for the cell of block 21 D, lot 42 a in a 27 Ford of the city of Pittsburgh, Island Avenue, Council, district number two, at no cost to the city.",x
motion to approve second discussion Seeing none.,x
all those in favor of bill 1685.,x
"Please indicate by saying aye, aye.",x
affirmative recommendation.,x
bill 1686.,x
"bill 1686 resolution approving execution of a contract for disposition by sale of land between a URA of Pittsburgh and a Pittsburgh land bank for the seller, block 83 a, lot 48, 11th Ward City of Pittsburgh, North Aiken Avenue, Council, district number nine, at no cost to the city.",x
motion to approve second discussion Seeing none.,x
"all those in favor of bill 1684: bill 1684, bill 1686.",x
"please indicate by saying aye, aye, Aye, Affirmative recommendation.",x
that exhausts our meeting agenda.,x
We do have some meeting announcements.,x
"Next week, council will hold their regular meeting on Tuesday April 15th and their standing committee's meeting on Wednesday April 16th, both at 10 am.",x
