sentence,classification
"so taking that out, I mean whether and the aesthetic part, I mean the issue is the flooding right, Like that's the issue for the folks in the round.",x
"If there was sort of an ugly, you know whatever, catch basin or something along the edge of the, I don't think that.",x
"I mean obviously something so people don't fall in it, but other than that, I don't imagine that that would have been an issue.",x
So So we don't do that and we lose 10 million on the overall project.,x
"Would that 10 million allow us to do the stuff, the gray infrastructure.",x
"So the 10 million- the reason I here for us to focus on it, the 10 million- is money we get reimbursed.",x
So that money is money Pittsburgh Water spends Upfront regardless.,x
"Okay, So you get, you get some of it back, Great.",x
so that was not.,x
"it wasn't a deal breaker as such, It was just.",x
it was just.,x
"all we're doing was listing out all the things that happened sequentially, that the money went away.",x
Of course it helps.,x
You can't.,x
"if you can get 10 million, you take it well.",x
"so with the 10 million from Alka San, I mean, would that have been 10 million for the whole project, including the gray, or would it Only have been allowed to be used for the, for the green infrastructure?",x
It would have been for the total project.,x
"The way it was done, It wasn't a good because the total project was evaluated.",x
"So you, you do it.",x
"you, evaluating the green infrastructure part and the storm sewer part, and both combined, gave you a performance that warranted the 10 million.",x
The green infrastructure off the table.,x
the performance didn't warrant that.,x
"So again, I mean, I'm Coming back to: can you just do this green infrastructure?",x
So what?,x
"well, how short.",x
"are we on budget Cause I, I can't remember It changed a lot.",x
Like is I some?,x
it was like I don't even remember.,x
"It's been so many years, Like it was like 20 million or 40, but like how, how, how many millions of dollars were allocated to this project originally, And then where did that change?",x
How did that change along the road?,x
Maybe that's a question for Jen.,x
"Yeah, So right now in our budget we have enough.",x
We have enough to complete the design.,x
"as far as construction dollars are concerned, I'm kind of in the same boat You are.",x
I thought that the construction was upwards of 30 million.,x
"Yes, and so that's where our Delta lies right now.",x
"Currently, we're spending 30- 30 million in our CIP for stormwater improvements around the city, but we don't have that additional 30 million to be able to do this construction.",x
But what happened in the meantime?,x
"Because I mean, I mean, we were again this, This is years ago, but community meeting after community meeting, we were told that the money was there, that the project was happening.",x
What happened to the money?,x
Because our priorities shifted to some of those mandated projects that we spoke about earlier.,x
"So the water reliability plan, which has- it's a kind of a Rubik's cube of projects that need to happen so that we can get to that clear Well, the clear what was a hundred year old structure.",x
"It's a single point of failure in our system and we must address it and so to do a number of these projects, even the, You know, building of the Highland pump station, had to happen before we could then get to that clear Well.",x
"so there's a number of projects, You know, I think we put up there 470 million that need to go towards these projects, And I don't even believe that includes the clear well costs as well.",x
"But I mean, isn't there also a mandate that we, that we separate our sewage and our and our regular water so that we don't have sewage going into our, Our sewage?",x
"We're still, we're still communicating that stream goin forward, Yeah, Yeah, And also our son's dad, Mm, we're still taking the materials that we came out, know their, their, Yeah, Between the units of.",x
"but the answer, but the answer to the question there is: we continue to multiply people to have higher And we're still corrupt.",x
"for the last, We're still -huh, We're still negotiating that.",x
"so German government, So that has not, So that has not been signed formally to, meant to have us, to have us to combine your, have us to combine your grow work.",x
That that was just moved out of this project over whenever.,x
when was that money moved?,x
"a number of years ago, this, this current budget cycle, so 24 for 25- was when we needed to make some really hard decisions and move money away from certain projects.",x
"yes, okay, so that was.",x
is that when you all sent the letter or was that?,x
"yeah, we sent the letter.",x
"I believe it was two months, end of February.",x
"yes, to alert community members and other stakeholders of our intentions.",x
the estimated project costs also have increased over time.,x
Tony can speak to that too.,x
"the cost of the estimated costs have also increased, as you mentioned earlier, sure?",x
"I mean, it's been a lot of years that the project didn't get done.",x
"so how much money has PW, say, spent so far on this project?",x
"this project, I think, whenever we look at the final numbers.",x
but the last set of numbers that I had was in the neighborhood of 8.,x
"7 million dollars give or take, and that includes the half a million dollars for the construction that I was talking about for the bridal.",x
it has a.,x
"it has been the all the different planning and final designs that we've done today, so 8.",x
7 million has been spent.,x
so on a project.,x
"that what, what's the current estimate to do the whole, to do the project, 30 million for the for the construction piece, mm-hmm- yes, I'm sorry, I'm just looking so it was 40.",x
"okay, so it was 40 million.",x
"that was what was allocated all together, including the design.",x
"and what would it cost if we were to add back in just this, this, you know, daylighting of the stream just along, I mean taking out the bells and whistles of you know whatever beautification stuff.",x
"but just to do, just to do the daylighting, that mm-hmm, mm-hmm, mm-hmm, mm-hmm, mm-hmm, mm-hmm, it's a problem.",x
I can give you a number but it's a real problematic number.,x
the number we had initially was in the neighborhood of five million dollars for that piece.,x
the reason is a problematic number is it's a number that was not approved by any of the agencies.,x
"so we don't know what level of effort would need to be done to get them to approve anything, or even to get, if we have to do stuff with CSX to get them to sign off.",x
so that's hard to estimate.,x
"mm-hmm, okay, so you mentioned earlier that we have had, so we have not had any big.",x
so I mean I will.,x
"I'll say again, since 2021, we have not had one of these mega floods in the run.",x
"yes, we've had, we've had live ideas come down from the park, but we have not had.",x
so have we not had a storm that would have recalled that?,x
because we just haven't had had the.,x
it wasn't just having the rain is having the rain that centered over the run.,x
we haven't had that to be able to say.,x
"but, like i'm saying what, that's part of the reason we started doing the evaluation, because we can, in a hydraulic model, you can artificially set those storms in place and then ask the question: how vitally would it have flooded?",x
so that's part of the analysis we're doing to see if that those changes actually helped them.,x
we didn't know.,x
so i mean what?,x
"because, see, that's the thing is.",x
"so for folks down there, right, like my neighbors, i mean you can, you can see when you lay out the, the history of the thing they basically feel like.",x
you know they didn't back down on the road that the mayor wanted to.,x
the mayor at the time wanted to build through a public park.,x
"right for a road, for for private shuttles to run through a public park and their community right.",x
so what?,x
"they were fighting, just to be clear, was not having those upmc and or not you can, i shouldn't say that, you know, but whatever, like those shuttles that you see in oakland running through, right through their neighborhood every you know 10 minutes or whatever it was going to be, and then also through their park where people bike and play soccer and etc.",x
"right, and because they fought that and said no, that this, you know that it was decided then that they just didn't get their flooding right.",x
"they were mad that they- i just i just want to make that clear and i feel like that is, and i get that there's sort of like the idea that there's not a conspiracy, but it sure feels like a conspiracy, right, if you're, if, if you're living down there and you say my city doesn't care about me, right, like my pittsburgh water that i pay lots of money to every month for my water doesn't care about me.",x
"so what, what can we offer?",x
"right, like, what can we do if we get another big rain?",x
"i mean, can we offer to pay to replace people's boilers?",x
what can we do?,x
can we offer to put backflow valves in people's basements?,x
"like you know, we've got 400 and 430 000 left on design: 432 000 of 8.",x
7 million that has been spent before.,x
it would be possible to have an option for about a hundred thousand people.,x
what do you think that's something we would have to look into?,x
"it's, yeah, that's something we would have to look into.",x
"it's not something i can give you any answer on right here, but i promise to take that back and and take a look at that for you what some options could be.",x
"i mean, is there any?",x
you know we have a field down there.,x
we have all.,x
"i mean, again, i'm just something between everything and nothing, right?",x
"I don't know, I don't know the Army Corps.",x
do you guys have any thoughts overall?,x
I don't know how familiar you are with this project and this area.,x
Thank you.,x
We're pretty familiar with Four Mile Run.,x
We've been approached a couple of times to look at projects there.,x
Section 219 program at one point in Section 219 is our environmental infrastructure program.,x
"It allows us to deal with water and storm water infrastructure- And a Section 206 program, which is- I'm just spitting out numbers to you, but those are sections of our Water Resource Development Acts that allow us to provide assistance.",x
So Section 206 is an ecosystem restoration continuing authority.,x
So we have programs to help The Environmental Infrastructure Program.,x
there are two that Allegheny County as a whole has available to it.,x
"It's the Section 219, as I mentioned earlier, and Section 313.",x
The difference between the two is that Section 219 is more of a turnkey type program where a municipality would come to us and we would do the design or the construction.,x
Section 313 is remote.,x
"It's reimbursable, which that allows the local municipality or the utility to do the work, And then we would reimburse them a portion of that.",x
"Both of those programs are 75% federal contribution, And so what that means is for every dollar that an entity would spend, we would reimburse 75 cents of that.",x
"We've worked with the Monn Water group, which is a four mile run, And so we've tried to put together a regional watershed group with watersheds of South Pittsburgh to discuss the different storm water issues in the city of Pittsburgh.",x
We've moved that through with our planning assistance to states program.,x
That's a technical assistance program.,x
"We also have different cap authorities in the latest WERDA, and each of those are in the state, And the latest WERDA, WERDA 2024, which will help us deal with storm water, And it also, I believe, allows for reimbursement for what we would call a non-federal sponsor to do the project.",x
So I think that we have a number of tools that would benefit entities looking to take advantage of them.,x
"So I mean, is that up to the Monn Water?",x
I mean the Monn Water project being a one person trying to start versus?,x
so what can PWSA do?,x
Because I don't wanna put this on the Monn Water project?,x
"Oh no, it's certainly not.",x
It is not their responsibility.,x
"I've just I made mention of that just to say that we're Sure, sure.",x
"no, I get it.",x
"Okay, yeah, That person does a lot, Yes, that person does a lot.",x
"So it would simply be PWSA coming to the Corps of Engineers and putting in a letter of intent saying we'd like to partner with the Corps of Engineers and working with us to resolve this issue, And then we would be able to seek funding.",x
"I would recommend that the elected representatives be involved as well, just to let them know that the federal government is involved.",x
"While we have the programs available, the elected representatives are responsible for the funding.",x
"The other question I have is: so PennDOT is also and we don't know yet what the project will entail, whether it's a rehabilitation or a replacement.",x
"See, it's just the run.",x
"I mean, we just sort of get it from all sides.",x
"But 376 is crumbling and falling pieces of it are falling on the folks who live down in the run, but that's, of course, a major project.",x
"So has there been any communication with PennDOT about ways that that project, which obviously you know lots and lots of money being put into that, could also help to address?",x
The communication we've had with them has been through their public involvement sessions that they've held that have come.,x
That's basically to the extent we've had it to now and they're still working through their preliminary design to get a sense of how much the flow rates are gonna change from what they had before.,x
"And that was the conversation, the extent of the conversation.",x
"Last time we tried very early in the process to get them involved- this would have been 2021, 22.",x
"having a meeting with them, The pushback from them was that they didn't have any money themselves.",x
They didn't have any money themselves to add to it.,x
So that was their story at that time.,x
But now we're just looking to make sure if the flows are increasing in any way then it won't be a question of you don't have any monies.,x
how much can you actually work with us?,x
"I mean, I'm just sort of wondering even just the field, right, We call it the big Jim's field, It's called Four Mile Run Park, right, That is city, not all of it, but much of it is city property And that's sort of like the center of the lake that forms If there's anything that can be done even just under that.",x
"I mean, I know, you know I'm not trying to oversimplify things, but I mean there've been alternatives that have been considered before, but I think a lot of it just focused on the storm sewer for now, but it may be time to.",x
That's what I mean.,x
I mean that's it.,x
It's like: is there money to do So?,x
"I, you know so 30, 40 million, whatever was moved to other projects, but is there money?",x
that can you know?,x
"I mean, maybe, maybe, I don't know, just something that when the water, or should the water start coming up out of you know, when the storm drains blow off, can we put something on the sides of the?",x
"I mean again, I'm not the engineer, right, But so that water does not just rise and create a lake.",x
That's right.,x
"Anyway, I just so.",x
"you know, there's definitely frustration And I know that and I appreciate that you all are gonna come down to the run.",x
"It's not gonna be a fun meeting for anybody, But I would, I guess, my, you know, all I can do is ask questions, unfortunately.",x
I wish that there was more that I could do.,x
I guess I can reach out.,x
you know I have a board member here.,x
"I would like to see some of this money, I mean, you know, money that was moved to go back to doing something rather than nothing.",x
"right, Because that just doesn't feel, it doesn't feel fair And it doesn't feel right.",x
"right, Like you know, this is a neighborhood And hopefully you know we don't have.",x
"but also, I would like you know, my recommendation would be, before you come to the neighborhood, before you come and sort of have this conversation without answers, with the community to do some of these things right, Like run your model, Like does, has- I mean, that's what I've been sort of wondering this whole time- Has the, does the M-29 did that kind of fix it right?",x
Is that part of it?,x
Or is it just that we haven't had the rain?,x
That's absolutely the intention.,x
That's the intention for the public meeting.,x
"Yeah, To have that resolved first before.",x
"And also acknowledge, you know, and maybe come with some idea, because you know, again, the mud and that is not sewage overflow, That's just mud coming down from Shenley Park.",x
And we have houses along Naylor.,x
"I mean, I know for a fact that some of the residents, or at least one of the residents on Naylor, has filed a claim with the city of Pittsburgh because of all the debris and whatnot that comes down into their, onto their property and is ruining their basement just constantly out of Shenley Park, right, Because Naylor's right on the back there.",x
"So you know, come with some type of solutions for that.",x
We have lots of that's.,x
"the thing about the run is we have all I mean in terms of green infrastructure, and I don't know, you know, I know that.",x
"you know, maybe green infrastructure isn't as effective as everyone wishes that it were, I don't know.",x
"But we have lots of places in the run where there's just a big wide area with nothing in it, right.",x
"So, and you know, and we have streets and whatever, We don't have major parking issues on our main streets, you know.",x
"so just to come with some ideas to the community, I mean, I would love for you to come to the community and say we voted to give the money back and we're just gonna do the flood mitigation project, But not if the you know not if the M29 did the trick, Right?",x
"Yeah, Oh, yeah, You know not if the big Alka-San, what's it called?",x
"It was the big dig in Boston, I think, was it?",x
what are we calling it?,x
"Tunnels, Whatever the right?",x
"Yeah, I mean again, anyway, I just if there's anything else that anyone, any last thoughts I mean, other than the analysis that we're talking about making sure to have those runs, and then the questions that you've, provided that we have a sense of what those answers will be before the community meeting.",x
"Yeah, That, from our side of it too, that was part of the hope of this, to get some of that early warning.",x
"Yeah, I mean just cause they will, you know, I mean just to keep in mind.",x
"you know, around the city we've got, you know, we've got little intersections in Squirrel Hill and Point Breeze that have like full on stormwater management on just a tiny little intersection right, Like storm.",x
"It looks like a million dollars infrastructure, maybe, you know, maybe three quarters of a million dollars of infrastructure, just on one little, one tiny little cross street right, But the run has giant flooding and they have nothing.",x
"So, anyway, I'll leave it at that.",x
"Yes, Thank you.",x
"Well, I want to thank everyone for being here today And I, as a as a member of the board of Pittsburgh Water, I have been party to the conversations that and the extreme heartburn that has taken place when asking these exact same questions.",x
Can't we?,x
"you know, this has been a perennial issue.",x
Residents in the run have suffered.,x
Is there anything that can be done?,x
"And it's, it's, it's, it's, it's just a lose-lose situation when you have, when you're, when you're faced up against decades, nearly a century of disinvestment, You're, you have to make hard decisions when there are mandates to either repair our single point of failure infrastructure- our ABC project, Aspen Wall, Brecken and Clear Wall Project right, Which serves, like the entire customer base of Pittsburgh Water- Or other projects that residents in the run, residents in these other storm water project areas, have been waiting for for for years and years and years.",x
"It's never an easy, never an easy decision, And I've witnessed the heartburn that has taken kind of these difficult decisions, the heartburn that Pittsburgh Water employees and leadership have have experienced in having to contend with this.",x
And I think we've all been asking the questions: Is there anything?,x
th—it can be done?,x
Has you know?,x
ha- have have the interventions that have taken place done enough?,x
What more can be done?,x
"I What I hear today, what I've heard in the year that it have led up to this, is: you know, everything that will be done, that can be done, will be done.",x
It's just a matter of sequencing and and a matter of prioritization.,x
"And you know when you, when you're thinking about tens of thousands of customers who, anything that could happen to reduce the ability to provide clean drinking water to tens of thousands of customers, or you know a project that a lot of residents have been waiting for, and then a mandate on top of that, like, that's a hard decision but that's one that had to be made.",x
i'm glad that there seems to be some you know some additional information that was gathered today.,x
that's very helpful.,x
"i hope that those kind of proactive, productive conversations continue.",x
"i don't think it helps to insinuate in any way- whether it's the feeling of the public in the run or not- that there was somehow a decision that was made to punish the members, the residents of the run because of a an organizing effort.",x
i think that that's false.,x
i think that the fact that three other projects were also put on pause demonstrates that's false and i don't think it helps the conversation move forward.,x
i i have only the greatest amount of respect for the leadership and the workers of pittsburgh water and i know that they are doing everything that they can to again fix decades of disinvestment that have resulted in our infrastructure kind of crumbling.,x
"at the same time, on top of increasing flooding increase, the increasing intensity of store storms because of climate change, i mean just like the run getting hit from all angles.",x
"our water infrastructure, our sewer infrastructure, our built environment, our natural environment is getting hit from all angles as well.",x
so i just wanted to state that for the record.,x
i also wanted to state a correction.,x
it was stated that a mayor was elected and then the road was canceled.,x
"what happened was prior to any new mayor, prior to this current mayor being sworn in.",x
"the entire road project was defended, except for 700 000, which was then put into trails.",x
so wanted to state that for a correction to the record.,x
thank you very much.,x
"Yeah, so just to clarify.",x
I understand that the folks at this table and I do not believe sort of conspired together.,x
"however, when we talk about faith in government and you have an underserved community that has been ignored and been asking for a flood mitigation project for over a decade and then another project that does not benefit them comes to their community and they fight it, saying that they want the flooding, the flood mitigation project.",x
and then they win their fight about the road and then the flood mitigation project is taken away.,x
"that hurts people's faith in government, whether or not it was the intent or the intention.",x
"that hurts people's faith in their government because they went to meeting after meeting for years begging for this flood mitigation and then working through this flood mitigation, having to deal with this road fight and the flood fight, and told that they didn't.",x
"you know, and I mean so much heartache, but they went into just trying to get their flooding.",x
and keep in mind I wanna say that I actually live up high on the hill on the run so I don't get flooded.,x
I just wanna make that clear.,x
I don't get flooded.,x
we're good where I sit right.,x
This is the folks who live under the bridge.,x
They live under 376 so they have bridge falling on their head.,x
they're having their basements flooded over and over and over again.,x
"These are, you know, people do not, that don't have money to replace their boiler every whatever right few years, are replacing their boilers every few years.",x
They're putting sump pumps in their basement.,x
"They have dead rats in their yard, right.",x
"So when I, as their council representative, explain their disillusion with city government and our city authorities over this project, that is what I'm talking about.",x
And you know I'm not even to be honest with you.,x
"and this thing about the budget money is absolutely because I myself personally, when I first came to council, moved a million dollars out of the Mon Oakland, out of the four mile run project.",x
so this idea that the Mon Oakland connector was somehow defunded before I got here is inaccurate.,x
"Maybe some money was moved out of it, but the project was certainly not defunded and it certainly was not canceled until this administration canceled it.",x
"So I would, you know, I respectfully would ask that folks defer to my experience and the experience of my own, my residents, when it comes to this particular project.",x
"Anyway, I guess, going forward, I would definitely ask if Alkacan has 10 million that can go toward right reimbursement or otherwise that can go toward helping the folks in the run with their flood issues.",x
"whether that is, I don't know, green infrastructure that catches water that comes up out of the sewer, if it can't be sewer, if it can't be gray or maybe just a combination.",x
"Maybe you can expand the sewer just on saline, like between Acorn and just past Big Jim's.",x
I don't know.,x
"again, I'm not the engineer right, But if there's something that we can do that can allow us to access this Alkacan funding, I think we should do it.",x
"If there is something that can be done to present to the Army Corps, then they can identify funding.",x
"Obviously, this flooding issue in the run has been going on for forever.",x
So what's another couple years?,x
"I don't know, Maybe it's another flood or two.",x
I don't know.,x
"I mean, obviously that will.",x
"I hope there isn't another flood, But if there is, boy, we're gonna hear about it, That's for sure.",x
"So I know that this has been a long, this has been difficult for a long time and I do appreciate you all And I appreciate this sort of weird transition from being just a member of the community to now being at this table and having these conversations for real, And I think that's what's really important, And I think that's what's really important is that we're not just gonna sit here and sit and talk about this.",x
"We're gonna have to be open to the public, you know, in front of the public.",x
"So thank you all for coming, And, yeah, I guess that's it.",x
Thank you for having us.,x
"Yeah, Yeah.",x
"so, having exhausted the business of this post agenda, this meeting is adjourned.",x
We'll see you next time.,x
"Bye, Bye, Bye.",x
