sentence,classification
Got it In order to handle your party.,x
Got it?,x
"Same thing, Okay, well, thanks, Same as any other real estate transaction.",x
"I mean, when you go to buy a home from a realtor, you do the same thing.",x
"Okay, You put down earnest money and start the sale process, Okay, And they use that, for it goes against, then, what you your closing costs.",x
"So, or if we were charging her 40,000, Okay, and she gave us four grand, I mean it comes off the balance of what she would owe at the closing.",x
"So, Okay, That's all the questions I have.",x
I appreciate it.,x
"Thank you, Thanks, Councilwoman Gross.",x
"Thank you, Madam Chair, Just trying to keep my microphone on here.",x
"Thank you, Director Gula.",x
"I just want to put things in context And again for my colleagues, you've, you know, we've kind of gone over this before, so forgive me, but I think it's important for the public to kind of put these things in some kind of context, And I don't have all the numbers in front of me, Director, So we can just have ballpark numbers if you don't have them in front of you as well.",x
"But in my last recollection, looking at the entire list of properties that the three TB that we, the city, has control over in the treasurer sale inventory is what we usually call it- It was roughly about 10,000 properties.",x
Is that still true?,x
It's at last count.,x
that's probably true.,x
There could be.,x
"I mean, when we last looked at it, yes, that would be true, And I recall that some 95% or more of those were vacant lots with no structures.",x
That's probably accurate.,x
"The largest number of those, The largest number of property holdings that we have, are vacant lots.",x
"And I mean I think I looked because for the public this is, you can export the report into a spreadsheet and you can.",x
"there are columns with codes in them And one of them says whether or not it has a structure on the lot, And I believe there were only several hundred in the entire inventory that had a structure at all.",x
"Yeah, there are very many, Yeah, okay.",x
"So I just wanted people to understand that, because I have seen conversations, either on social media, sometimes even in reporting, that make it sound like the city has thousands of actual homes And that is not the case.",x
There may be several hundred and they're probably in conditions similar to this one.,x
"Yes, And I believe that we have prioritized moving those into the land bank.",x
"But I also want to say that, you know, I think that's you know, I think that's a good thing, I think that's a good thing, I think that's a good thing, I think that's a good thing.",x
"And I also want to put some other numbers in perspective, because, Director Gula, we had a post agenda- it might've been more than 12 months ago- where we were presenting on the just volume of transactions- because that's kind of spoken to a little bit here- reviewing how lengthy of a time there is for quiet title under the Treasurer's Sales Act.",x
"This is which is, it's all required by state law.",x
"by the way, the kinds of things that you were just describing, Yep, And the numbers I have in front of me are slightly different than, I think, that reports that you generate, because we- I pulled numbers from our city council legislation, like we have, as you point out, later on today's agenda- there's dozens of properties And so we counted up the properties going back in years And, you know, before the land bank was up and running.",x
"but even Treasurer's sale properties- I mean, you know, going back to 2019, properties like this in 2019 there were only some 24 that were moved through Treasurer's sale And a total, if you put together, transferred to the URA, either sold at side yard, sold to Treasurer's sale or other means.",x
I mean it was something like 80 or 90 properties in 2019.,x
"It was even lower during the first years of COVID, 2020 and 2021, but that's understandable.",x
"But then when you got to be the director of finance, that volume really ramped up And the last complete year I have was 2023 and you moved some 250 properties And I don't have the numbers for 2024.",x
Do you know generally how much it was?,x
I think I counted half of 2024.,x
I was already up to 130 or so.,x
"Yeah, we exceeded 2023, but I'm going to- I'm going to add something there that so, due to COVID and the courts being closed and us not being able to quiet title, we had a ton of sales that were sitting not being able to do anything.",x
So there was a backlog.,x
"So once we moved into 2020, let's say two and three, we were processing sales that had started either slightly prior or during COVID that we could not complete, But last year we were kind of through that backlog And those were, those were sales that were specifically generated by my department.",x
"So there's a bit of a difference, you know, with 2023 or 2022.",x
So that's a big number.,x
"We exceeded that number, Yeah.",x
"And then you also kind of put in front of us- my numbers are a little bit out of date because I, you know, one of the advantages of being remote in council is that I can have my computer up in front of me and see that.",x
So that's a big part of that.,x
"And then the other thing that I would say that you were talking something about sales in dollars, you know, closing in on a million dollars.",x
So that's probably the biggest teller right there of the whole story.,x
"So prior to now, not so distant past, that trust fund was underwater And the city was able to fund at least three quarters of a million dollars every single year just to pay for the budget for the three TB, which almost just relates to, like, staff and court costs.",x
There was no extra and without that money that trust fund would have been in the negative and that there were no sales.,x
"in order to keep it going, We had to fund it, And so we were So like- I'm gonna interrupt you for a second.",x
I'm going to say that slightly differently.,x
The city literally lost.,x
"you know, the trust fund lost money on every property that moved.",x
"yep, got it.",x
"so since covid and the number of sales that we have put during covid, the city was like: the general fund is blah and we're not giving you money anymore for 3tb.",x
"they couldn't, so we had to sort of sink or swim on our own and we swam, and so now the balance in that trust fund is now over a million dollars.",x
"i'm going to give you a little credit here and i'm also going to say this, but i think it's factually correct: before you were the director of finance, the city was losing property money on every property it moves and the, the trust fund was in the negative.",x
"yes, and since you've been director of finance, as you said, you swam and you did not think.",x
"and now we are making money on the properties and there is about- i mean again, my numbers are a little dated, but there was about a million dollars in the trust fund.",x
"yes, there's over a million dollars in the trust fund.",x
"well, congratulations, dr gula.",x
"i just wanted to make sure because you were really great at helping us understand information at the table, but i didn't want that message to get lost, because i really really give you credit for it and i appreciate it.",x
"and you know, i'm going to go ahead and i'm going to go ahead and i'm going to go ahead.",x
"and you know, i've been saying, you know, i spent, had to spend 10 years wishing that things would get moving, that the land bank would get fixed.",x
"i, you know, as my colleagues recall, i i passed that legislation to create it in 2014 and it didn't move a single property.",x
"and so you know, not only has the land bank gotten fixed right, and so when we talk about, like over the last couple of years- and i think it's important to note that the land bank has moved properties- maybe more by now, right after- i'm a little behind on those counts- but you also, in addition, are moving hundreds, you know, or at least many dozens more.",x
i don't have exactly did i cut out?,x
"i think i cut out there, sorry.",x
"in addition to the land bank sales, you are also moving properties, as the director of finance, directly to people buying them, and so that's really important information to keep in mind, and i so i don't want to say that.",x
"do you know again, i, i there's- there's not that many of those hundreds that have been moved that have structures on them.",x
"so if we only own, you know, a couple of hundred out of 10 000 that have structures, i suspect there's only a handful, like fewer than 10, maybe fewer than five, that move, that have structures on them.",x
"or or can you, can you speak to that with?",x
"i mean, without having exactly all the numbers in front of me, i would hate to like throw something out there, but i would say that most of the property is vacant land and not structures.",x
"so those are, you know, pricing structures is kind of few and far between.",x
"okay, i think that's just helpful to know because, yes, you know, maybe we want to take a closer look.",x
i think it is some of the things that we're seeing in the industry.,x
"so, yeah, i think that's a really good point and i i think that's really important for people to understand that there's, you know, a sales agreement, just like when you're buying a house.",x
you know there's some conditions that let you kind of back out of the deal.,x
"but you have to always read the fine print really carefully in any contract, and i'm i'm open to the discussion here, but i just wanted to put some of that in context as to like the level of of success that you've had and to put into context, i think, quite small, thank you, that's what i'm sure.",x
"thank you, thank you.",x
"we have councilwoman kayla smith, followed by councilman wilson and the things that you've done over the years.",x
you've been really great to work with him and you do keep the city's interest.,x
"you know, front and foremost, but i- but i will say we're not.",x
"the city's budget is not great, so, but you're responsible for you're doing good, so thank you.",x
"but honestly, what i really want to know is more- and you were the assistant director too for a long time, so you've been involved in all this process for a long time- but do we have a legal opinion on this at all?",x
"because i'm wondering- there's some- you know, chatter, i'm hearing back and forth and i just want to make sure we're doing what's right here.",x
do you have a legal opinion on this?,x
that's saying that this is okay.,x
so i think that's a great question.,x
"so, yeah, i'm just, i'm just Okay to move this this way Or to do this, Or what happens if I hold for a legal opinion.",x
So I don't think we have a legal opinion on this Right now.,x
what the administration would like to see is striking of the language.,x
"that includes a refund of hand money, which would be precedent setting.",x
So we don't have a legal opinion.,x
"We are hopeful that there is an amendment made either in writing or a voice amendment, to strike that language.",x
that then would clear up any legal concern.,x
"So I'm sorry, Do you mind, Madam Chair?",x
"I'm sorry, I'm sorry, I'll find.",x
"Thank you, thank you.",x
"I just wanted to clarify, I guess, really, what their concern is: that we will have a legal problem if we rescind the money- correct?",x
I don't think it's a- And we don't have one now by striking it.,x
"That's not a legal, it's not a question for anybody in the legal department.",x
"But if we- If we decide to refund the money, then that's your concern as setting precedents, and then maybe that needs a legal opinion.",x
"there, I guess The concern is not legal in nature, though there may be a legal question worth exploring if that's a path we're going to go down.",x
"The concern that we've tried to highlight here is one of financial management and responsible financial management, And you know, Council Member, to your point, we're trying to act in a way that is fiscally responsible, with sort of not just the city's budget in mind, but also the 3TB trust fund that Director Gula's mentioning responsible management of that.",x
"So that's where the concerns are at- is a financial matter, not necessarily a legal matter at this time, But it could become one.",x
But it could become one.,x
I think I need to ask the law department this.,x
"So, if you don't mind, Madam Chair, could we maybe hold until the law department can come in, So we cannot hold this any longer, And I think there's probably someone in the chambers here who can explain why, or maybe those joining us at the table already- as to why we're up against the clock, But we really only have until next Tuesday.",x
"No, I understand until next week, but can we just hold it until the end of the meeting?",x
is what I'm asking?,x
"I see, Until the law department comes.",x
"Hold until the end of the meeting, Yeah, because then you can take the police, get them out of here and then get the law department in here.",x
Does that sound fair?,x
I think we have.,x
I don't see anybody.,x
"She was here, but I don't see anyone.",x
We're joined by the law department today.,x
"Oh, you're with the law department.",x
"I'm sorry, You can come to the table if you don't mind.",x
We tag each other out.,x
"man, I apologize, I didn't know You're with the law department.",x
How are you?,x
I'm well.,x
"thank you, Kevin Frater.",x
I'm an assistant city solicitor.,x
"I'm standing in for Krisha Kubiak, the city solicitor.",x
So what can I help you with?,x
What's your question?,x
"So I'm wondering: if we do this now, will there be any legal ramifications down the road Or any consequences?",x
legally?,x
"Well, Because we've never done this before, right To my knowledge, we have not done it before.",x
"There would be certain legal ramifications that could occur, including members of the public being able to challenge the action, Could incur court costs, could incur delays on things And, as was already said by Director Gula, this would set a precedent that could cause significant damage to the, The, The The current land bank situation, which is in good standing.",x
"So that at this point, without doing a deep dive into it, I would ask Jack Miller, who is the head of our real estate department at the law department.",x
"He may be able to give a better written opinion than I could on the matter, because he's much more familiar with the land bank issues.",x
"Can I say just say thank God for Marty Griffin making comments about our flag needing replaced, Because, as we're in the middle of the meeting, in walks the guys with the flags to replace them.",x
"So Thanks, Marty Griffin.",x
"Sorry I apologize, But you're going to watch these guys climb out the window to replace the flags, Anyway.",x
so I'm just trying to figure out what I'm doing here.,x
"I want to make sure we're doing whatever's legally responsible and ethically responsible here, And I just don't know enough about this particular situation.",x
"I hear what you're saying, I hear what everybody else is saying And I know Councilman Calgo has a heart of gold.",x
I tell him there's somebody who is homeless that needed a job and he offered him a roofing job.,x
"So I mean, he's just And he's constantly taking care of people, And I think I just want to make sure that whatever we're doing here is legally responsible.",x
"So I can abstain today, unless others want to get a legal opinion.",x
Would you think a legal opinion would be helpful in this?,x
That's up to you.,x
I don't get to make the determinations or the decisions.,x
Do you think it would be helpful?,x
He'll know.,x
I think that Jack would be able to give you a much more in-depth dive than I can.,x
Are you OK with that.,x
I'm fine with that.,x
"We can get it by Tuesday, Before Tuesday, And we'll have the knowledge about then which way.",x
"OK, So you can move it for today.",x
"Whoops, I'll abstain.",x
You can move it forward.,x
"If the legal opinion comes back negative in a way that we can't move forward, then we can kill it next week, Table it next week, Thank you.",x
"Thank you, Councilwoman.",x
We have Councilman Wilson.,x
"Thank you, Chair.",x
"Before our legal office leaves the table, I just wanted to ask- I wasn't planning on asking about this, but the land bank came up several times in the comments- And how does this put the land bank at risk?",x
Or are you actually trying to say the finance department?,x
"So the land bank trust fund is what I was discussing, And the land bank trust fund, The three taxing bodies Trust fund.",x
"I think you mean three taxing bodies, I'm sorry.",x
"Yes, The three taxing bodies trust fund.",x
That's in there And that's where the money.,x
"Thank you, No problem, Yeah, OK, Yeah, That's all good.",x
I just wanted to clear that up.,x
I like it.,x
"Nice, Thanks, Thanks, I just wanted to- Yeah, Yeah, Yeah, Yeah, Yeah.",x
"Just recognize that I appreciate the work of the Director Gula and the finance department And everyone that works there Out of your hands is what the situation is that's before us, Which is just the length of time that it would take to.",x
"I mean, maybe some of it's in your hands.",x
"I'm not trying to pick through that now, But Yeah, Yeah, Just in general, the length of time that the buyer would have to wait from the time they see the property, The time they could actually get in and start repairing the property, is, I mean, that's the issue In this case, I believe, The years that go by until they can get in and repair the roof.",x
"And that's also more reason to Why people Yeah, Yeah, Yeah, Yeah, Yeah.",x
"That's why people choose Without words right now, but it's, it's not eminent domain, It's the Conservatorship.",x
That's why people choose conservatorship sometimes to get in sooner and report back to the judge on what the progress is.,x
"And I'm also hearing From some of my colleagues- Just, You know- celebrating the finance department, which is great.",x
"I mean I, I love more tax revenue, But we also have to be mindful.",x
I know that this is a constant topic.,x
"And I'm also hearing from my colleagues- you know, just, You know- celebrating the finance department, which is great.",x
"I mean I, I love more tax revenue, But we also have to be mindful.",x
I know that this is a constant topic.,x
"I know that this is a constant topic, But we also have to be mindful- I know that this is a constant topic here, But we also have to be mindful- I know that this is a constant topic here- At the table of, You know, selling to speculators or Predatory, You know future landlords or You know anyone that would, You know wholesale or speculator.",x
"So we, you know currently there's no.",x
"I mean, I'm happy to Understand if I'm incorrect here, but my understanding is we just have to sell to, To the, You know, to the highest bidder.",x
"It would be, It'll be.",x
"I don't know, It's just, It's just not that we could do that.",x
"I mean, we we incorrect here, but my understanding is we just have to sell to the, to the, you know, to the highest bidder when we sell at the city and if there's not a you know like a responsible buyer process, is that, is that correct, director?",x
"that's, that's not entirely true.",x
"first of all, someone has to be vetted in order to become a purchaser, which means we look, they fill out an application and we have to make sure that that either company or individual does not have any open pli violations and they do not owe any municipal liens or open tax dollars to the city.",x
"second, then that property is actually vetted for the use that that person actually enters in on their application.",x
"so the planning department- there's a, there's a property committee that looks at the application and then they look at the application and then they look at the application and then they look at the application and then they look at the application and then they look at that and says, okay, is, is this parcel what they want to use it for?",x
apt for the end use after where it's located and does it.,x
"you know, as long as it fits in with, maybe, what the community plan is and they're approved to buy it, then yes, we can definitely sell to anybody.",x
we we have to.,x
"yes, we have to.",x
it's sort of part of the check with the community before you sell property.,x
"yeah, oh, there's community plans.",x
"i'm not aware, i'm not aware of that.",x
i have a couple pieces of property that we had on item street that you know.,x
"i guess i wasn't aware you, you emailed the community group or how does that happen?",x
"there's, there's actually a working group of individuals that will reach out to community groups.",x
"they reach out to zoning and city planning and then they either approve the property for sale for what the end use is, based on the application.",x
i'm sorry.,x
you said there's a committee.,x
"yep, oh, i'm sorry, director, you said there was a committee.",x
that i'm sorry.,x
i'm sorry if you didn't hear me.,x
"there is, it's.",x
there's a review process of the property itself and its end use.,x
"yeah, i know, but you're not going to be able to get that right.",x
you're going to have to do it yourself.,x
you just said you contact the community.,x
so what's what's the process with the community?,x
there's for the community.,x
"they reach out to community groups or like if, if city planning actually has a community plan, that's there.",x
"they will vet that parcel for its end use against what the plan is, and that's just that's something we have in our code, or that's just something that appalled.",x
"it's a policy and it's been in practice for a number of years, probably since, i want to say, at least 2018- okay, not prior- we recently worked with for iton street.",x
"they didn't mention any of this, so i'm curious to know more about this.",x
i didn't realize that we had a robust process at this at the city.,x
"you know, my understanding is that i mean, i'm totally unaware of this, because there's a house across the street from me on spring hill that was purchased and i don't no one talked to this person, i mean the, quite frankly, the land bank reached out to them to understand what they were going to do with it.",x
so i'm curious to know what you know more about what you're talking about.,x
i've i've never heard of this.,x
they purchased the property for the because they were the highest bidder.,x
"i mean, you know?",x
"i mean, yeah, i definitely think we should check on whether or not they're paying the taxes and if they have a violation.",x
"but anyway, my point was just that you know, there is a lot of concern that you know, i know a lot of council members have brought up in the past about speculation, wholesale buyer buyers and everything.",x
i just want to point out that and i'm happy to learn more about this process that that i'm not aware of.,x
"but anyway, i was going to try and just talk about the land bank and how.",x
"you know, there, we, you know there is a board, there is public meetings about these process, about these pro, about the process of how we vet buyers and you know, to really fund the land back long term.",x
"my, you know my understanding- that would be like the best practice to go forward with.",x
so i just want everyone to keep in mind that the land bank isn't funded past 2026 and i'm going to be setting up a series of meetings to fund the land bank long term and make it sustainable.,x
"so if you're interested in being a part of those meetings, please reach out to me.",x
"and you know, i just want to want to highlight, you know, one way that we can, you know, have a bit, have a greater control over not having to sell to the highest bidder and making sure that these properties are being in the right place and that they are being in the right place to be.",x
"so that's, that's, get in the right hands.",x
"so, thank you, can i just clarify for one moment please?",x
"so selling to the highest bidder, we kind of have to do that.",x
these properties are taken via treasurer sale.,x
"we sell to the highest bidder to recuperate costs that we've already lost, or tax dollars that were not collected, or costs that were expended for demolition or cleanup that were never paid.",x
so that's point number one.,x
point number two: just because we start a sale with a specific individual and the property and the individual was vetted for that sale.,x
people can object to that sale.,x
so this vetting process happens in the very beginning.,x
"there could be other objectors to that sale that we would vet as individuals to make sure that they could individually object to the sale, meaning they don't owe the city any more money, but they could also through a court auction process.",x
"once it gets so far and there are objectors, then it would go to the highest bidder through a court auction, which means the person that started the sale with us that you approved at city council may not be the one that actually ends up with the property, but that is part of the treasurer sale act.",x
this.,x
"these are things that we cannot control, because the point of taking the properties in the beginning is to recuperate lost tax dollars or municipal costs.",x
does that answer your question?,x
is that an projection that we're putting aside?,x
"even though we're using the details here, it doesn't help explain some une güzelball that is currently going on at the city.",x
"once it gets to a certain point in the quiet title process, we can't accept any more objectors.",x
"but if there are objectors to the sale, we post them publicly, not only here in city council, and they may do communities if there have to be any arable tenants or to provide trabajables, we post the location and the 32-00 tenant sale that realimposed breasts by law types and the property documentation services.",x
the sale is going on at 7.,x
3 when you have to go by process and the Harris altered.,x
so i have a lot of tamamlex nursing services to close at the individual svl with the rubles register etc.,x
"so, basically, or the the property And they're advertised to the public.",x
"They're advertised publicly, not only here in city council and they go as part of legislation, but they're advertised as part of the quiet title process And in fact people that border or are adjacent to the property that's being sold receive a letter and notifying them that the property is being sold and they too could object to the sale and purchase it for 10,000 And then they can go and get the money down just like everybody else and start a sale.",x
So there's a person who won the bidding process.,x
Do they have to pay that price or higher?,x
They have to pay what they bid The bidding.,x
"once it goes to court auction, it's held by a judge in a courtroom.",x
"there's an opening bid, which is usually the starting cost of the sale that we started and then anybody who's interested in buying the property we're going to give them.",x
There's no hand money.,x
"No, they put down hand money in order to be an objector.",x
"I'm hearing judge, I'm hearing highest bidder.",x
I just wish we would just talk about just what we have to do by law in terms of the city.,x
"Councilman, if I think I'm understanding what you're asking about and the point you're trying to make, so correct me if I'm wrong, but I do believe that there is a more, I do believe there is a more robust community driven process that the land bank has as part of their sales process, as compared to the one that is within the city's process.",x
"Yeah, yeah, yeah, yeah.",x
"I mean, yeah, I just I'll leave it go.",x
"I just don't understand why we went down this road of talking about the land bank and talking about this other process that I have no idea, But I'm sure there are properties that have been on the books for some time and the you know there is like more engagement on it.",x
"but I mean, the fact of the matter is we have to sell to the highest bidder and I was just trying to bring a light to another process, that we have another tool, that we have the land bank and that you know, although I do think we should still like I'm in the camp where we should still continue selling property through the finance department.",x
that's not what I'm trying to do here.,x
"I'm just trying to talk about, bring a highlight about this other tool we have and how it's not funded past 2026 and how those are the concerns of the table here at city council.",x
"for literally the majority of the time I've been on council, I hear you know these concerns all the time.",x
"So sorry this got a little long-winded, but I just feel like we got a little off track there.",x
"Thanks, Thank you, Councilman.",x
"Thank you, I don't know if we're going to go into second round.",x
"I'm sure we will, but I do have a couple of questions and, at the risk of asking questions, I know there are council members who have really delved into this process, worked with the finance department to make it as sort of efficient as possible, thus resulting in the many, many property increases that we've seen over the years.",x
So I'm just trying to get at like the concern we have before us today without actually talking about this particular issue.,x
"I think it's very clear that the, the, the, the, the, the, the, the, the, the, the, the, the, the, the interested in the property, in part because of the structure.",x
"Have you had these conversations with whoever it is- PLI, DPW- to say these need to be at the top of the list for roof repairs, for building stabilization, Because, like someone's literally interested in getting it back on the tax rolls and paying taxes?",x
Have you had those conversations?,x
"Do you know if they do prioritize that or if there's some mechanism that we could help with, separate from this bill, to help get those prioritized so that they can be at least?",x
"if the process is gonna take a year, 18 months, et cetera.",x
"we know that we're going as fast as we can- and you certainly are, and the courts are as well- that at least the building will be stabilized in the meantime.",x
"So I wouldn't say necessarily a lot of formal conversation specifically on that topic, but there are a number of us that do meet to talk about our inventory and mostly about vacant land.",x
"but these types of conversations do come up and it does usually involve finance, the law department, because they also have a real estate division as well- PLI, DPW and the land bank, And so I think that's part of how we all work together, because some of those parcels that the land bank is interested in are ones that they know that they could take and turn around and may not be in the conditions that they're in, And so that's part of the process.",x
"And then we also have the URA, and I'm not gonna say that they're not interested, but they are interested in a lot of the work that we're doing in the URA and that would be suitable for us to actually sell to someone else.",x
but they also have a group of investors too that are capable of doing that type of work.,x
"So I wouldn't say it's necessarily formal, but those things are taken into consideration when we do talk as a group about how to improve our processes overall between all of us, because we as a city we have to make sure that we're able to get to the point that we can do that We're able to get to the point where we can do that in order to work through the inventory and get it off the rules and back into people's hands and profit generating again.",x
"so Do you think some sort of policy, whether it's policy, internal policy within the city's director's purview or actual formal legislation, would help, Or would that be too restrictive to say just sort of say, wait to formalize it.",x
"is it good, Is it not?",x
what is an informal conversation right now?,x
"Well, the biggest concern that I have is the fact that, at least for us, it has to come out of a trust fund that is just getting healthy and it's always really come down to the cost of it.",x
"So, while we've made great strides and came a long way from where we were, I don't think we're in necessarily a position where we could really go out and expend a large amount of money, because a lot of these fixes aren't going to be cheap in order to assist in property stabilization, which is why we've utilized the land bank to put those things in their hands, because they're capable of doing it where we're not.",x
And then I'm trying to be fair to the city and fair to the person who's bidding In situations like this.,x
I get that it's pretty rare where there's been a request to return haystacks.,x
I don't know if it's because of the sale being rescinded or falling through.,x
"What I'm hearing is that we know we spend money, but maybe we don't track it granularly enough to know how much of that- say 4,000- is being spent in the process.",x
"What I'm getting at is: could there be a splitting- not today necessarily, but in the future- a way to account for that, to then be able to return some of the money that has been unspent.",x
I don't know if that's even possible to calculate in each of these instances.,x
I mean we could look into it.,x
"It might be in the future, not necessarily for this one, but potentially Okay.",x
"Okay, Just thinking of all the ideas.",x
"again, these are probably questions people have asked in your group, in your task force, in the various departments, on council.",x
I'll just sort of.,x
"I'll just sort of, you know, encountering this part of it for the first time, I will reserve any my future questions for later and move to second round, I believe, unless we have others.",x
So we'll start with Councilman Coghill.,x
"Thank you, Madam Chair.",x
I just have a few questions.,x
"I promise I'm not gonna keep you here long, Too late for that, I know.",x
But I want you to know this is not a reflection.,x
You're doing exactly what I want you to do as a director.,x
You need to protect that fund.,x
It's like getting it to the board.,x
You need to protect that fund.,x
You need to protect that fund.,x
"I'm not gonna keep getting it from the jaws of death with you, which is great, We want that right.",x
We want you to be a fiscal watchdog.,x
"But let me ask you, this director Of that fund, a million dollars so we put in a third.",x
Where is?,x
is our?,x
"is that completely in the city's hands, that money?",x
"So the- because it's always been in the, operated in the negative pretty much the city- any of the, any of the proceeds that were actually made back into the trust fund just to like cut grass- And we even know that in the past, like the maintenance cost, even expending, that has been, and you know there's employees that get paid out of there as well for the work that they do, specifically on property sales.",x
"Yeah, I understand why you're protecting them.",x
So there's not really.,x
"yeah, So the money that's generated, there's really nothing extra, right, But it's three TB, that's three taxing bodies.",x
"Yep, Does the school district?",x
"does the school district how it makes that money or The way it should operate is is: yes, they would, but we would also be required to profit, share with them as well.",x
"Okay, So they could contribute, but we'd also be responsible for paying them.",x
"But they don't contribute, But we don't pay them either.",x
"Okay, okay, There's no, there's no proceeds to share.",x
"Got it, got it.",x
"So the money that's there just keeps getting recycled, Okay, yeah, So so I wanted to go back to 200 and say what is there?",x
"250 structures, is that somewhere in the ballpark Or no, I'm sorry, three, four, maybe even up to 500, but no more than 500.",x
We said 95% is really land right?,x
Probably So.,x
"and then you clear 250 and 23, So we've got to get be getting close to what.",x
"do we have a couple hundred left, 250 sales, not Sales, But that includes buildings and land, Oh Right, Okay.",x
"well, there you go, Of which most of them were probably vacant, I understand, right, right, So you sell more land or more building, more land, Well, more land, mostly because the volume of the actual inventory is mostly land and not buildings.",x
Got it right.,x
"So we still have hundreds of structures, I'm sure.",x
"And, to be clear, these structures are probably dead end properties when we get them.",x
"Absolutely right, right, That sat vacant for a number of years, So they're not in good condition ever, I know.",x
and that's my next question is: how many do we acquire every year that fall into our hands?,x
"basically, right, So not many On an average.",x
"I think the last treasurer sale maybe we had 50 parcels available, but we weren't actually putting parcels in a treasurer sale unless we knew that there was a buyer that wanted them.",x
"So Okay, and ones that we're acquiring now.",x
"the idea, hopefully, is that get those going directly into the land bank as well.",x
"And, like Mr Wilson noted, you know the land bank is going to need money And that's one thing you have right now, which is fortunate.",x
"The land bank and the URA, and if there are community groups, would work through the land bank, They request us to put properties that they want in their inventory that they know are tax delinquent.",x
"We expose them to a treasurer sale, We take them and then we transfer them to them.",x
"But there's also individual buyers that would apply and we would take those as well, And they could either come to the sale and bid on them or buy them once we take them into our hands.",x
"Okay, and I wanted to clarify one thing, Councilman Wilson- and I think I have this right, but you too, I think I have this right, but you too, I think I have this right, but you too correct me if I'm wrong- Objectors can spark an auction if they object, correct?",x
"Yep, Okay, Once they spark that auction, if that objector goes and put, well, first of all, they have to put their hand money down.",x
"If they go to that auction and they do not get the winning bid, then they get their money back, correct, Okay, because I've done that right.",x
"So that's no harm, no foul there, Right, As far as objectors go, Right, It's the people that we are dealing with.",x
"through the City of Pittsburgh and our process, I feel like- And again it really comes down to this- The place is rotting before, after they put their hand money down.",x
"It you know and I understand your, I understand where you're at.",x
"I do, I understand your position, I really do.",x
"So it just needs to be a bigger, broader conversation.",x
And this did happen.,x
I know we've refunded.,x
"you said once, but I'd like to call it Peter.",x
"come on up here, McDevitt, if I can.",x
"Madam Chair, He has some history, I think, or I don't know if once, but twice, you said once this, somebody was refunded, And I'm not going to keep your hair forever.",x
"And Kevin, I don't know if anybody else has anything for you.",x
We can call you back up if they do.,x
I just like being part of the table.,x
"Okay, good deal, good deal.",x
"Well, I was going to maybe occupy your seat with Sean, but go ahead, Peter, please.",x
"Hi, Peter McDevitt, City Council Budget Director.",x
So something that jumped out at me is talking about how this would be setting a new precedent.,x
"Maybe my understanding of the word precedent is different, but we have done this at least twice in the last three years.",x
So council has initiated legislation to rescind the sale and the hand money is to be refunded.,x
Do you have the amounts of that hand money?,x
I don't have the amounts of it.,x
"Okay, all right, that's fine.",x
"It was at the end of 2022 when Reverend Burgess sponsored legislation and then, 18 months ago, Council President Lavelle sponsored legislation to rescind the sale and to refund the hand money.",x
So that's at least twice within the last three years.,x
So it's not a new thing.,x
"So the fair- possibly the administration or anybody you, Director, I guess- is that it would set precedents and open us up to a legal challenge.",x
"Glad you're here, Kevin, But if we have done it in the past, Then it's not unprecedented.",x
"It's not precedents, right?",x
"Well, sorry, I don't think.",x
"appreciate Peter bringing up legislation, but I don't think we've had a chance to review the legislation and understand the sale that it related to- and it is likely not an apples to apples comparison- Previous legislation that's been put in front of me, as prior examples have not been apples to apples comparisons under this administration.",x
"What I've seen are examples of, like Director Gula said, where either the city is at fault and unable to complete the sale or there is some sort of objection or dispute, but it's not the individual applicant who is applied who is then backing out once we're ready to complete a sale.",x
Fair enough.,x
There's no way that you can confirm that's the case.,x
I do.,x
"Right, okay, fair enough.",x
fair enough.,x
"Yeah, right, so Okay, I guess I'm going to.",x
I don't know what other members are going to do.,x
I've had this conversation with really other members other than a couple brief.,x
"you know notes and again, it's more the principle for me.",x
So I'm willing to bite the bullet and pay the four grand back.,x
We do have a million dollars.,x
We don't want to make precedents of this.,x
"We don't have that many structures where people can come back to us for millions of dollars, right, I mean, we only have a million dollars, Right, We only have a couple hundred structures.",x
"So at worst, if there's five others out there that say, hey, I wanted my money back, you know, so you know how much could it cost us in the end.",x
But ultimately we need to do some interior.,x
"you know, reorganization, I think more than anything here.",x
But I appreciate what you do.,x
I appreciate your stance on this.,x
I love you protecting our money like I really do.,x
I want you to know I respect that.,x
"okay, So okay, but that's it for me, madam, Madam chair, so thank you very much And thank you for being here.",x
"Thank you, And I know Council Member Warwick had her hand up first and then Councilwoman.",x
"oh no, no, you were just asking Gotcha.",x
"Councilwoman Kale-Smith, Just briefly.",x
I initially had a lot of concern because I thought we never did this.,x
I asked if we never did this before And I'm finding out now that we did it just twice in the past few months.,x
But I talked to somebody else and it's been seven times over the past few years and some of it has been initiated by your department and some by city council.,x
So now I feel a little bit more comfortable with moving forward.,x
"That's it for me, thank you.",x
Thank you.,x
Any further discussion Seeing none.,x
"all those in favor of Bill 1634, please indicate by saying aye, Aye, Aye.",x
Opposed abstentions: Abstain.,x
I'm gonna abstain as well.,x
Any abstentions?,x
Affirmative recommendation That moves us on to new papers.,x
"Great job, guys.",x
