sentence,classification
"My goal is to try to thread the needle to get a body to fully support your will of council, which I think, by and large, we all agree with the sentiment of it.",x
I think some of us just have a concern about the state of emergency portion.,x
Second round.,x
"Councilwoman Smith, Thank you.",x
I just want to clarify a few things.,x
The state: We work really well with the state in our side of town.,x
"We do work really well with Dan Deasy, Senator Fontana and Georgia.",x
John McClory does an amazing job on our side.,x
"As a matter of fact, he's cleaning up two dump sites today in Sheridan.",x
So I do want to say that.,x
But we have the right to go on private property if it's a public safety concern.,x
You have that right.,x
We do it now.,x
We used to have help from the county in terms of hoarding and those types of properties.,x
"They stopped that, So they have left the city of Pittsburgh with absolutely no resources to handle mental health calls or mental health issues in terms of hoarding And you can see go on Stratmore Street in Crafton Heights, two homes side by side and what people are living next to, And I have sent that over to the Public Safety Department And the chief of the Fire Bureau has the authority to go in and make sure that that property is either cleaned up or demoed, because it becomes now a safety concern for our firefighters and for the residents living nearby.",x
"So when there's a public health concern, they do have a right to go on private property.",x
They do have some rights to do some things.,x
"I think we use all these different things as excuses not to do some stuff, But the fact of the matter is this has been an issue since I've been here 16 years And we still have not managed to make it such a priority that we're going on to the private properties and the blighted properties to clean them up and to make the area safe.",x
So I'm going to support Councilman Charland because I know that his heart's really in this and he wants to do.,x
I know his intentions are good in wanting to see something done here.,x
I wanted to make sure that And I also thought out that we have some responsibilities.,x
"I think what we need to do truthfully is to sit down all together and we do with our briefings and come up with better plans for handling blight, including vacant properties, the debris on the side of the road, graffiti.",x
All those things are together.,x
"They're not individual, They're not isolated.",x
"They're things that work together against the community, And so I think if we would come up with something better together, I think that would be our part.",x
I'm also.,x
I know if we're helping to clean up.,x
"I've been doing it for years, but it's really getting.",x
"It's just disgusting because it's not isolated, It's all over the place.",x
"You can see it and you can see the blight And residents are complaining about it, Kids are complaining about it And Councilman Caldwell's actually cleaning up sites himself and I'm getting all kinds of accolades for him for everything he's been doing.",x
He's out there actually doing it and cleaning it up.,x
So And I know we all participate in cleanups.,x
"So I just think that we I'd rather not do such aconditions at Councilman Caldwell when you're doing a cleanup and saying you've got this, I'm glad he did what he did.",x
I love what he's doing.,x
It makes better things And we don't see any boards stepping in here in order to protect the community.,x
"When we got the called to the City Council, we did it in order to protect this city and their community, the community, community And the of the best things that a city can do.",x
We all are vuel strangers.,x
We're in a mess.,x
"first want to say: you know, when I agreed to sign on to councilman Charlene's bill, not only am I enthusiastic about the same and have the same interests of cleaning the city of Pittsburgh up, you know, I also felt that in no way did I feel that this would be sidetracking the governor from supporting financially our transit system just because the state of the emergency tag is on it.",x
"state of emergency doesn't necessarily mean financial means of great abundance and I don't think you specified that in any which way in the bill, at least not that I caught so and I would have a hard time supporting it myself honestly.",x
"but you know I always say it's cost nothing to pick trash up, it's really cheap and state of emergency means for me that's cut-throat.",x
"you know I always say it's cost nothing to pick trash up, it's really cheap and state of emergency means for me that's cut-throat red tape.",x
"let's make sure the county and state cleans their roads up, and I'll leave it up to councilman Charlene whether he wants to keep that tag on there or not.",x
"but in no way do I feel, or I felt, that this would be interfering with funding that would go through transit or landslides or anything of that nature.",x
"so and I want to say one other thing: you know we clean up sides of roads, we clean up private, probably clean up everywhere.",x
"but I will tell you I'm getting a small, very tiny percentage of what's really there.",x
"most of these roads, you know it's- I get alongside the road and about four or five feet in I get what you could see.",x
"what I get is probably about 20% of what is actually out there, I will tell you.",x
"and all these roads that are the main problem areas, usually roads coming in and out of our neighborhoods and and all of these roads you know, beyond, what you can see is again, seventy percent of where the real trash is.",x
"so, as of the you know, if you have a WCCO steakhouse that checked out, you know supposed to take a break and just small block away does that allow for anybody to walk there?",x
we were looking storming off.,x
we had to clear storming off of it.,x
"so I'm wondering where you'd be finding that road- and always, Matt, WCCO, least alongside the roads, because i know, you know, another three, four weeks, once that vegetation starts, we don't see it.",x
"i know it's there and that still bothers me, but you know, typically you don't see it as much because of the vegetation.",x
"so i look forward to making the city clean, i look forward to supporting councilman charlton's efforts in doing so, at least in, you know, his district.",x
"and yeah, and again, i'd like to talk further about a deeper clean, where 70 percent of what we are picking up is not being picked up and that's where it's a public health safety issue, i believe.",x
"so okay, that's it, thank you, mr president, thank you, councilman gross.",x
again i want to say that i think this is a really good conversation and just council members kind of sharing the problems that they are seeing and also other programs that are really important to the city of california and the city of california and the city of california are working.,x
including city departments in their district.,x
is is really helpful and i've taken a lot of notes.,x
i'll just throw in one example that i wasn't going to mention.,x
"but on illegal dumping, i have a request in because i just got a report from neighbors this weekend that they've seen landscaping companies dumping their waste into catch basins, into the storm drains of our sewer system.",x
"that we spend money cleaning out- right, that money comes from us, right from your, from your pwsa bills.",x
right to that we have to replace those storm drains.,x
that we buy large vacuum trucks at pwsa to vacuum out clogged sewers.,x
"that when both either the drain or the entire sewer line- main sewer line- is clogged, we have to replace those sewer lines and that rainwater that comes up from the sewer line without any water it's not a major problem.",x
all that water comes up.,x
we've got flooding on your roads.,x
"when that happens all winter long, it busts up freezing thought, busts up your streets.",x
that's costing us money too.,x
so i just- that was a new one to me- that we actually have people- i've had reports of vendors from food trucks dumping all of their cooking oil into catch basins.,x
"right, we've certainly had reports of broken catch basins because of large vehicles driving over those kinds of things.",x
"we spend millions of dollars replacing the actual infrastructure alone of just to have like the stronger, newer.",x
"you'll see them someplace with the big metal grates, and so it's just.",x
"it just kind of boggles the mind the number of things that we have to be vigilant about, and so i just thought i'd throw that one in there for the discussion.",x
"thank you, thank you.",x
"any further discussion, councilman charlotte?",x
"thank you, thank you, thank you.",x
"so you know i appreciate comments from members here and you know i i do firmly believe that, especially when we consider all the detrimental impacts to trash, between the health impacts from, you know, plastic leaching into our waters, the, the economic impacts, the public safety impacts, of the strong correlation between trash and violence, i do believe that this is a state of emergency.",x
"however, i will take the council president's advice and if we want to strike the state of emergency off of this, you know my, my intent.",x
my heart still believes that this is a state of emergency.,x
this is a five alarm fire.,x
this is something that we need more help than we are able to to get through.,x
"things that we can do on the margins, you know, i like hiring ceo works and and bringing in some- some great folks, but some non-union folks- to help out in our cities.",x
"that's great, but that's not enough.",x
"what we're doing right now is not nearly enough, and the purpose of a system is what it does.",x
"our systems are created right now to allow our cities to be filthy, and i i understand by that, but i'm obviously very impassioned about this.",x
"if it would make the council president feel better, i'd be happy to remove the state of emergency from this.",x
"but you know, i want all members to know, and i want the governor to know, that i believe this is the state of emergency and i also believe that someone with the capacity of the of the governor has the ability to both walk and chew the gum at the same time.",x
i don't think that this would at all impede a public transit crisis.,x
i just don't believe that that's that's the case here.,x
but happy to make that concession.,x
"yeah, i, i don't.",x
i don't know how that works.,x
"actually, that was going to be my question for the clerk.",x
"if this were legislation, i would need to have a written amendment striking language for a council.",x
am i able to do that?,x
"okay, so the clerk informs me that because it's a will of council, we can't strike language.",x
"so with that, does that require a vote?",x
"madam clerk, i would think so.",x
does that require a vote to strike the language?,x
"okay, so if someone- i can't do it- if someone would offer a motion to strike the language, simply declaring the state of emergency, keeping everything else intact, all right.",x
"i'd like to make a motion to strike the part of the sentence in the now they're appropriate resolved that begins after calls on the governor 2, and then the strikeout begins with the word and act second, and then, well, i have to say, when it ends.",x
so i was just giving clerk time to catch up.,x
"i was like watching her, right.",x
i asked him.,x
"but i asked him, councilwoman, he didn't want to.",x
so the strike up begins with the word and act.,x
"so the motion is to strike, beginning with the word and act and continuing through magnitude to constitute- constitute an emergency- and and then ends correct, you would keep render and then they will keep render essential the commonwealth supplementation of municipal resources.",x
"thank you, is there a second second?",x
"all those in favor say aye, aye, aye.",x
any opposed any further discussion on the will of council as now amended?,x
"madam, i just i'm sorry.",x
i just want to thank councilman charlotte because he's he's definitely come through and has made this a real priority for him and i and i.,x
"you know, i hate to say it, but it's election season, so we're going to see all kinds of things now and i just want to make sure that we're not governing according to what's you know next happening in in a year and a half, and then we're going to see a lot of things happening and i just want to make sure that we're not going to see a lot of things happening in the elections.",x
"i want to make sure what we're doing is, you know, effective and the best you know course of action for the city of pittsburgh and our residents on all sides, because i see it happening on all sides and i just want to remind people that you know, this is something that does affect our people and it's been going on for a while.",x
so it would have been nice to see some response before this.,x
"it'd be nice to see some response after this, but i want to thank councilman charlotte because i know, no matter what happens at the end of may, he's going to continue this battle.",x
"thank you, any further discussion, councilman kaku?",x
"yeah, just quickly.",x
i just want to make clear.,x
councilman mchale smith just reminded me election season.,x
"most of my district has has been saying, oh, he's cleaning up it's selection time.",x
i just want to remind them i'm unopposed in the may primary.,x
so it's not.,x
that's not the case.,x
i have jackets and signs and everything.,x
i've had them made up for at least two or three years now and- and that's why i brought up councilman charlotte- i remember him being sworn in and i remember it being the most like refreshing thing that i knew him very well before he got sworn in.,x
"but for him to address that on that podium when he was sworn in, i wanted to remind the city and his district that you know he's been on this for a long time.",x
this is nothing new and it's not political.,x
"i wouldn't think: thanks, thank you.",x
"i'll simply add one: thank you for your willingness to compromise, councilman.",x
i do appreciate that.,x
"two: there have been a number of us over a period of time now who have talked about the fact that we as a body at some point probably need to collectively address the issues of trash, and we have a list of issues that we need to address- whether it's regarding transit, whether it's regarding the environment, whether it's regarding trash- where we sort of collectively put together a list and spend time there walking those halls so that we can indeed get the resources necessary, and i'd be more than willing to become one better educated on the topic so that, when we're there, we could add this to a list of necessary subjects to then have a conversation with the governor about what resources can he actually bring to assist us and supplement what we currently have.",x
"first, i'm er had lots of papers over here.",x
"councilman cocky of sure, public safety and wellness.",x
"thank you, mr president.",x
"councilman Cog Hill presents bill number 1703 resolution authorizing the mayor, the director of the office of management and budget and the director of the Department of Public Safety to enter into an agreement or agreements with the county of Allegheny for the purpose of receiving grant funds from the 2023 national sexual assault kit initiative grant in the amount not to exceed thirty seven thousand dollars to support overtime for pvp detectives for the investigation of old sexual assault cases, the purchasing of materials to properly furnish a soft interview room for the Pittsburgh Bureau of Police and participation in approved training opportunities in councilman gross chair of innovation and performance.",x
"thank you, mayor Cog Hill, for the recommendation of the bill under the bill number 1723 resolution authorizing the city of Pittsburgh, the director of public works and the director of finance to enter into an easement agreement or agreements with Duquesne like company and Pittsburgh water to provide, install, use, own, operate, maintain, repair, renew and finally remove one pole anchor upon city-owned property, six poles, five anchors and overhead wires upon city-owned property collectively the DLC assets to manage visitation vegetation on a certain parcel in the vicinity of the DLC assets and to perform landscaping in the vicinity of the DLC assets at no cost to the city.",x
"thank you, mr president.",x
may offer a motion to waive rule eight so this can appear on tomorrow's standing committee agenda.,x
"second second: all those in favor say aye, aye.",x
any opposed.,x
this will appear on tomorrow's Senate committee agenda.,x
takes us to council mostly.,x
chair of intergovernmental educational affairs.,x
"Thank You, mr president.",x
"thank you, councilman mostly.",x
"presents bill number 1704 resolution adopting plan revision to the city of Pittsburgh's official sewage facilities plan and the city's public works on behalf of the city of Pittsburgh, for 296 McKee place at no cost to the city.",x
bill 1705 resolution adopting plan revision to the city of Pittsburgh's official sewage facilities plan for 215 South 21st Street at no cost to the city.,x
"and bill 1706 resolution approving and authorizing the mayor, the director of the Department of Finance and the director of the Department of Public Works, on behalf of the city of Pittsburgh, to enter into an Allegheny County Sanitary Authority to provide permanent easements for subterranean tunnels through nine parcels of city-owned properties currently identified as Allegheny County parcel ID numbers: 44 s, 230, 7 a, 195, 7 m, 110, dash, 9, 7 f, 1078, b, 150, 8g, 250, 8d, 15, 7 l, 31 and 7 p 200, and to accept payment, therefore, in the amount of eight thousand two hundred dollars.",x
and.,x
"councilman Kale Smith, chair recreation, youth and senior services.",x
"Thank You, mr president.",x
"thank you, councilwoman Kale Smith.",x
presents bill number 1707 resolution authorizing the mayor and the director of parks and recreation to enter into a sponsorship agreement with dollar bank for cinema in the park at no cost to the city.,x
"and bill 1708 resolution authorizing the mayor and the director of parks and recreation to enter into multiple sponsorship agreements enumerated hearing for the Richard s Callagary Great Race and councilman Strausberger, chair of finances law.",x
"Thank You, mr president.",x
"Thank You, councilperson Strausberger.",x
"presents bill number 10: jed number 1709 resolution authorizing the issuance of a warrant in favor of Angelina prior and her attorneys, contos men, Jean Killian and Hassan, for a single payment in 2025 in an amount not to exceed eighty thousand dollars in full and final settlement of litigation filed in the Allegheny County Court of Common Pleas.",x
"bill 1710 resolution authorizing the issuance of a warrant in favor of Gladys Sanchez in an amount not to exceed eight thousand three hundred and one dollars and thirty six cent over one year, in full and final settlement of a claim for damage to her vehicle from an accident with the city police vehicle on December 17th 2024.",x
and.,x
"bill 1711 resolution authorizing the execution of a quick claim deed conveying all of the city's right, title and interests in and to the city's own properties located in the twenty-first district of the city of San Francisco and the city of San Francisco.",x
"the city and designated in the deed registry office of Allegheny County as block and lot 124 in 282, 283, 288, 290, 291, 292, not 293, 124 p, 96, 125 be, 128, 129, 130, 131, 132 and 134 to the Larmor consensus group through the Pittsburgh land bank for consideration set forth herein relating to the full and final settlement of cases filed in the Allegheny County Court of Common pleas.",x
"and Councilwoman Warwick, chair of Public Works and infrastructure.",x
"Thank You, mr president.",x
"Thank You, councilwoman.",x
"councilwoman Warwick presents bill number 1712 resolution authorizing the mayor, the director of the office of management and budget and the director of the Department of Mobility and Infrastructure to apply for grant funding from the Pennsylvania Department of Conservation and Marine learned of mobility and infrastructure to apply for a grant funding from the Pennsylvania Department of Conservation and and Natural Resources Community Conservation Partnerships Program to provide funding for the rehabilitation of Emerald View Trail Project.",x
"The grant proposal includes an ask of 250,000 with a match of 250,844.",x
"42 from the City of Pittsburgh's capital budget for a total project cost of 500,844.",x
42 for this stated purpose.,x
and Bill Number 1713 resolution authorizing the Mayor and the Director of the Department of Public Works to enter into an agreement and or amendments with the University of Pittsburgh for the purpose of providing supplemental waste operations in the Oakland neighborhood at no cost to the city.,x
"And Councilman Wilson, Chair of Land Use and Economic Development.",x
"No new papers, Mr President, Thank you, And on behalf of myself I have three communications: Council President LaVelle presents Bill Number 1714, communication from Jake Pollack, Director of the Office of Management and Budget, submitting to City Council the attached status update from the Grants Office for the week ended April 4th 2025.",x
"Bill 1715 communication from Jake Pollack, Director of the Office of Management and Budget, submitting an acting pay request on behalf of the Department of Public Safety for Jennifer McDermott Grubb, for the acting pay policy revised in June 2018.",x
And.,x
Bill Number 1716 communication from Mayor Ed Ganey submitting Division Zero annual memo dated March 25th 2025.,x
"And may we have a motion to read, receive and file.",x
So moved.,x
"All those in favor say aye, Aye, Any opposed.",x
"Our next order of business is going to be reports of Committee for Final Action, beginning with Councilwoman Eric and Ms G, Ms G Strasburger, representing the Committee of Finance and Law.",x
"Thank you, Mr President.",x
"Thank you, Councilperson Strasburger.",x
presents Bill Number 1699.,x
Reporter to Committee on Finance and Law for April 2nd 2025 with an affirmative recommendation.,x
"Bill 1572 resolution authorizing the City of Pittsburgh to accept the sum of 316,000 367 in full and final settlement of litigation filed in the Allegheny County Court of Common Pleas involving the Finland Street Pedestrian Bridge.",x
"Bill Number 1660 resolution authorizing the issuance of two warrants with the total sum of 32,000 over one year.",x
"It is further understood and agreed that the payment schedule of the total settlement amount shall be as follows: 16,000 payable to Scott Allen Beatty.",x
"16,000 payable to Samuel J Cordes Esquire, in full and final settlement of litigation filed in the United States District Court for the Western District of Pennsylvania.",x
Bill Number 1661 resolution authorizing the Mayor and the Director of the Office of Management and Budget to enter into an agreement or agreements with USI Insurance Services for insurance brokerage services for all necessary policy types.,x
This shall be a no-cost agreement with a term of three years with two one-year options to extend.,x
"And Bill Number 1662 resolution amending Resolution 924 of 2024, effective December 18th 2024, entitled Resolution Adopting and Approving the 2025 Capital Budget, the Proposed 2025 Community Development Program and the 2025 through 2030 Capital Development Program by increasing Liberty Avenue by 1,063,333.",x
30 to account for additional Federal Highway Administration funding being received by the City of Pittsburgh.,x
You have heard the reading and the title of the bill.,x
Is there any discussion?,x
"Seeing none, the bill is now ready for final action.",x
All in favor of the passage of the bill will vote aye and her name is called.,x
Those opposed will vote no.,x
Will the clerk please take the roll.,x
"Mr Sharland Aye, Mr Coghill Aye, Ms Higgins Aye, Ms Gross Aye, Mr Mosley Aye, Mrs Kale-Smith Aye, Mrs Strasburger Aye, Mrs Warwick Aye, Mr Wilson Aye, Mr LaVelle-President Aye, Nine ayes, zero noes.",x
"The bill, having received the legal required number of votes, is passed.",x
finally.,x
That takes us to Councilman Anthony Coghill presenting the Committee of Public Safety and Wellness.,x
"Thank you, Mr President.",x
"Thank you, Thank you, Councilman Coghill presents Bill Number 1700.",x
"Report of the Committee on Public Safety and Wellness for April 2nd 2025, with an affirmative recommendation.",x
"Bill 1656 resolution authorizing the Mayor and the Director of Public Safety to enter, on behalf of the City of Pittsburgh, into a Professional Services Agreement or agreements with Kicker Inc to provide video production services, including conceptualization, scripting and production planning, to create videos to aid with police recruitment efforts.",x
"Total cost not to exceed 32,750 over a one-year period.",x
You've heard the reading and it's out of the bill.,x
Is there any discussion?,x
"If none, the bill is not ready for final action.",x
All in favor of the pass of the bill will?,x
aye?,x
René is called.,x
Those opposed will vote no.,x
Will the clerk please take the roll?,x
"Mr Sharland Aye, Mr Coghill Aye, Ms Gross Aye, Mr Mosley Aye, Mrs Kale-Smith Aye, Mrs Strasburger Aye, Mrs Warwick.",x
"Aye, Mr Wilson.",x
"Aye, Mr Lavelle-President, Aye, Nine ayes, zero noes.",x
The bill has received the required number of votes.,x
"It is passed, Finally.",x
that takes us to Councilwoman Barbara Ward presenting the Committee of Public Works and Infrastructure.,x
"Thank you, Mr President.",x
"Thank you, Councilwoman.",x
Councilwoman Warwick presents bill number 1701.,x
Reporter to Committee on Public Works and Infrastructure for April 2nd 2025 with an affirmative recommendation.,x
"Bill 1663 Resolution amending Resolution 615 of 2024, entitled Resolution Authorizing the Mayor of the City of Pittsburgh and the Director of the Office of Management and Budget to Apply for a Grant from the Pennsylvania Department of State.",x
The grant is to be submitted to the Department of Community Economic Development's Multimodal Transportation Fund for the Smallman Street Complete Street Project.,x
"The grant proposal includes an ask of 2,279,662.",x
"30 with a local match of 117,100 from the 2024 capital budget for a total grant project cost of 2,396,762.",x
30 to accept the grant proposal.,x
"The grant proposal includes an ask of 2,279,662.",x
"30 with a local match of 117,100 from the 2024 capital budget, for a total grant project cost of 2,396,762.",x
30 to accept the grant proposal.,x
"The grantee, Whether it accept the grant or decrease the award amount and authorize the necessary expenditures.",x
"Bill 1665 Resolution providing for an amended reimbursement agreement or agreements with the Pennsylvania Department of Transportation for costs associated with preliminary engineering, final design, right-of-way and construction phases of the Liberty Avenue Highway Safety Improvement program, providing for the payment of the cost thereof not to exceed 12,905,400- 25,556- an increase of 5,400,000 from the previously authorized amount, and the municipal share of commonwealth incurred costs not to exceed 29,700- an increase of 24,200 from the previously authorized amount.",x
"in resolution 600 of 2023, future resolutions will authorize the project specific agreements and bill 1666 resolution providing for a supplemental agreement or agreements with WSP USA Inc for costs associated with South Negley Avenue Bridge project, providing for the payment of the cost thereof not to exceed 1,188,409.",x
"39- an increase of 317,588.",x
"34- an increase of 317,588.",x
"34- an increase of 317,588.",x
34 from the previously executed agreement.,x
you've heard the reading and title of the bill.,x
is there any discussion?,x
"seeing none, the bill is not ready for final action.",x
"all in favor of the passage of the bill will vote aye, if your name is called.",x
those opposed will vote no.,x
will the clerk please take the roll?,x
Mr Sharland?,x
aye Mr Coghill.,x
aye Ms Gross.,x
aye Mr Mosley.,x
aye Mrs Kale-Smith.,x
aye Mrs Strasberger.,x
aye Mrs Warwick.,x
aye Mr Wilson.,x
aye Mr LaValle.,x
president.,x
"aye, 9 ayes, 0 noes.",x
the bill will have a seat and the required number of votes is passed.,x
"finally, and that takes us now to Councilman Karri Mosley, presenting the committee of intergovernmental educational affairs.",x
"thank you, Mr President.",x
"Councilman Mosley presents bill number 1702, reporter to Committee on Intergovernmental and Educational Affairs for April 2nd 2025, with an affirmative recommendation.",x
"bill 1657 resolution amending resolution 21 of 2025 which authorized a cooperation agreement or agreements with the city of Pittsburgh equipment leasing authority for the purchase and leasing of vehicles, equipment and accessories, equipment, support, infrastructure and professional services in fiscal year 2025, by increasing the authorized amount by ninety three thousand dollars to purchase vehicles and equipment for the office of community health and safety for a new total sum of seven million nine hundred ninety nine thousand three hundred nineteen dollars and 37 cents.",x
and.,x
"bill number 1658 resolution providing for an amended reimbursement agreement or agreements with Pittsburgh water for costs associated with the Haverhill project, where Pittsburgh water is overseeing the design and construction of the stormwater management come up, come up and the stormwater management come up and the stormwater management components, as well as the roadway replacement and rehabilitation, and has or will retain the services of a design consultant, construction management, inspection consultant and construction contractor for the project.",x
the city will reimburse Pittsburgh water for this work at a cost to the city not to exceed nine hundred ninety two thousand six hundred twenty eight dollars and 77 cents- an increase of three hundred eighty two thousand five hundred thirteen dollars and thirty cents from the previous year.,x
and the previously authorizing resolution.,x
four hundred and four of two thousand and twenty three.,x
and bill number sixteen fifty nine.,x
"resolution authorizing the mayor and the director of the Department of Mobility and Infrastructure, on behalf of the city of Pittsburgh, to enter into an agility agreement with the Pennsylvania Department of Transportation for purposes of exchange, documentation and cooperation with respect to provision of in-kind services between both parties at no cost to the city and the city's public information.",x
"to what sure bell, president?",x
"aye, nine, ayes, zero, noes.",x
the bill have received a legal number of votes is passed.,x
"finally, that takes us to motions and resolutions.",x
is there anything from members?,x
"councilman Smith, I actually have quite a bit sorry.",x
"you might as well sit down, I know how this feels.",x
"I just want to talk a little bit about some of the things that have been happening and I've been seeing since this election, and a lot of it is.",x
I know that it's related to the to everybody you know running and all the tension and council divided amongst who was supporting or whether they're supporting or whatever they're doing.,x
"but I'm gonna tell you I better not hear another word about council chasing the chief of police out of the city of Pittsburgh during it there, during any kind of comments.",x
"because I have right here the text messages between me and the chief- and the last time I, he and I, spoke was before before.",x
"this last email text message was Thursday February 2nd 2023, and that was when he was my commander.",x
"then we didn't speak again until Wednesday, December 11th, and he says: thank you for the chat.",x
today I feel better and appreciate you taking the time.,x
does that sound like a man who was threatened?,x
does that sound like a man that wants to leave the city of Pittsburgh?,x
and then I- and then I said it was a good meeting with you.,x
I'll have my staff preparing the amendment regarding the chief's salary.,x
I talked to him about the chief's salary.,x
I thought it was unfair that we lowered his salary without even talking to him.,x
"nobody told him that he was gonna lose about eighteen thousand dollars a year, but yet we paid Larry's grotto that much more and he let, came here, left here and then came back.",x
so I felt like chief Raglan at the time deserved- at least because he stayed- that increased salary and he said: I appreciate that as well.,x
sorry here about the passing of your mother.,x
my prayers and condolences.,x
thank you so much.,x
that was our only communication together in a text.,x
so when people talk they better know what they're saying.,x
"because that's not what happened, at least not with he and I.",x
"and during a meeting with six witnesses he said: I said during the meeting, if you're talking about commander ripple and what he wants, he doesn't want to be an assistant chief under you and he doesn't want to be a chief under a mayor's race with a mayor's race pending.",x
"he, he only wants to be treated with respect.",x
could you meet with him and talk with him the way you have with others?,x
and he agreed.,x
so I'm gonna just say you know I don't mind if I say something.,x
I'm gonna tell you I say something.,x
"I don't care, if you like, if I advocate for chief of police, just like other members called people and said: why don't you become the chief?",x
"so if I want to say that, I'll say that, but I didn't.",x
so I'm not gonna take blame for something I didn't say.,x
"then we had the interviews for the housing authority and you know, after those interviews- I think I explained at the time and then maybe I didn't explain well enough, so I'm gonna explain right now- I sent a text message, not about the people that were there that the next day, but about the people that were there the first day, and I said I was mostly concerned about wasi Muhammad because I really liked wasi and I didn't want to vote against him.",x
"so I said to my, to Dan frees and who now works in my office: is there any conflict of interest I need to be aware of?",x
because because they are funded by the federal government and I just wanted to make sure because he works for the federal government.,x
"and he said: responded: you know, yes, and if anybody receives grant money, does it.",x
so I didn't realize that.,x
"he said: well, make sure you get the opinion from the ethics department or ethics Commission, which I failed to do.",x
"and when they vote came up, I didn't want to vote against anybody.",x
"I don't want to wait and say: hold for an ethics Commission opinion, legal opinion, because I don't want to delay anybody else.",x
and then I said I'll abstain from TME's because the other three said they never received city dollars.,x
she said she had to vote against the city dollars and I said I don't want to wait.,x
and I said I can't wait.,x
I need to tell you why I that was stupid.,x
she said that's because she didn'toll brought.,x
she said he has that government fais with.,x
there's not integritya non shifts.,x
"whatever you're doing, good, Everybody's on the payroll right now.",x
as a you did.,x
yes is the purpose.,x
"I'd say I shiftingAT Olga Hill, I literally turned my、 out Inspire R Kn tenho included in everything that we get, any packages that we get.",x
"But part of what I am most concerned about is I have never seen council members, never seen council members get dragged into a race with the mayor's office where we disrespected one another, where we jumped on social media like two-year-olds and tried to, you know, jump in the conversations.",x
I've never seen us do that kind of stuff.,x
I've always seen us treat each other with respect And what I've noticed over this past time- the sense of decorum in this council and with members.,x
"some of them are newer, some of them have been here for a long time.",x
What I've noticed is how brutal it is.,x
And I'm going to say this: I have never trashed Ed Gainey.,x
I would never trash people.,x
"I don't do that, I may get upset.",x
I may say we don't get along.,x
"There's tension between us, That's not trashing somebody.",x
"And so what I will say is: I think that these jobs are just not for the good of the people, And I think that's what I'm going to say.",x
I think that these jobs are just not for the good of the people.,x
And so what I will say is: I think that these jobs are just not for the good of the people.,x
And so what I will say is: I think that these jobs are just not for the good of the people.,x
And so what I will say is: I think that these jobs are just not for the good of the people.,x
And so what I will say is: I think that these jobs are just not for the good of the people.,x
And so what I will say is: I think that these jobs are just not for the good of the people.,x
And so what I will say is: I think that these jobs are just not for the good of the people.,x
And so the Thanks.,x
"Mr president, that position in that public safety is.",x
"it is a really challenging situation and I don't blame anybody for the the state of the police to Bureau in terms of the the chief or not having a chief, or what, how many chiefs we have.",x
"what I do blame us for is the way that we treat people, and- and that was one of my biggest concerns previously- is that what we heard- so many complaints from people in the way they were treated, and so I just I don't want to keep bringing this back up and rehashing, but I'm just not going to be used for your political- you know- commentaries and your political stuff and saying things because you have an agenda.",x
"I mean, the reason why there is such tension, the reason why people like Donald Trump get elected, is because of all these kinds of comments, all these kinds of tensions, these because, like, you're not supposed to say a word or do anything.",x
I mean it's just getting to the point where people are so frustrated with us that they're looking for anything that's different and crazy.,x
"to be honest with you, they just have had it with us and I think, seeing it, what's happening here locally, I've had it with us and I'm gonna start saying a lot more, a lot more publicly, if we're going to continue this road and, believe me, I have a lot more, and so does councilman Coghill.",x
so I think that people should just respect the fact that we're trying to be respectful and going forward and working together.,x
"we're trying to keep what we can here is with some sense of decorum and realize we're working with our colleagues, not our enemies, and that you know we may be on different political agendas or different political pages sometimes, and that's the way that we're working and that's okay.",x
"that's what makes the world different, that's what makes us, that's what makes us unique and and those things are okay.",x
"I could just say a lot more, but I'm gonna shut up right now, thank you.",x
thank you any other member?,x
if not.,x
we do have meeting announcements.,x
"this afternoon at one o'clock, council holding executive session on bills 1709 and 1710 as relates to ongoing litigation.",x
"also, this afternoon at 1: 30, council will hold a post agenda on division zero annual memo, which is shared by a councilwoman, Walden, and the council will hold a pre-agenda interview at 9: 30 am for the Clean Pittsburgh Commission and the Housing Authority.",x
"at 10 am, council will meet with our for our standing committee meeting.",x
"speaker registration will close at 9 am, Wednesday morning.",x
"to register to speak at this meeting, please, with a sign up form on the council meeting web page.",x
you may also call the clerk's office at 412 255 2138 in a motion to approve the minutes and adjourn the meeting.,x
"so move, all those in favor say: aye, adjourn you, you, you, you, you, you, you, you.",x
