sentence,classification,prev2,prev1,next1,next2
"Within two weeks of a fatal crash occurring, we'll go out and complete a site visit And we have a standardized process.",i,So for this subcommittee it's a little bit different than the rest.,We only meet when there is a fatal crash.,"So at those site visits we have a questionnaire basically that we fill out And to make sure that the data that we are collecting for each fatal crash is consistent, we are making sure that we are communicating our updates on the Vision Zero Engage page in a formalized way, as well as our public safety information officers communicating each time a fatal crash occurs that our team will be going out and completing a site visit.","Since the launch of this group, we've completed six site visits in 2024 and four so far in 2025."
"So at those site visits we have a questionnaire basically that we fill out And to make sure that the data that we are collecting for each fatal crash is consistent, we are making sure that we are communicating our updates on the Vision Zero Engage page in a formalized way, as well as our public safety information officers communicating each time a fatal crash occurs that our team will be going out and completing a site visit.",i,We only meet when there is a fatal crash.,"Within two weeks of a fatal crash occurring, we'll go out and complete a site visit And we have a standardized process.","Since the launch of this group, we've completed six site visits in 2024 and four so far in 2025.",We are now in the process of completing three site visits in 2021.
"Since the launch of this group, we've completed six site visits in 2024 and four so far in 2025.",i,"Within two weeks of a fatal crash occurring, we'll go out and complete a site visit And we have a standardized process.","So at those site visits we have a questionnaire basically that we fill out And to make sure that the data that we are collecting for each fatal crash is consistent, we are making sure that we are communicating our updates on the Vision Zero Engage page in a formalized way, as well as our public safety information officers communicating each time a fatal crash occurs that our team will be going out and completing a site visit.",We are now in the process of completing three site visits in 2021.,So we are now in the process of completing three site visits in 2021.
We are now in the process of completing three site visits in 2021.,i,"So at those site visits we have a questionnaire basically that we fill out And to make sure that the data that we are collecting for each fatal crash is consistent, we are making sure that we are communicating our updates on the Vision Zero Engage page in a formalized way, as well as our public safety information officers communicating each time a fatal crash occurs that our team will be going out and completing a site visit.","Since the launch of this group, we've completed six site visits in 2024 and four so far in 2025.",So we are now in the process of completing three site visits in 2021.,I just wanted to share a quick example because I think it's easier to understand when you have visuals.
So we are now in the process of completing three site visits in 2021.,i,"Since the launch of this group, we've completed six site visits in 2024 and four so far in 2025.",We are now in the process of completing three site visits in 2021.,I just wanted to share a quick example because I think it's easier to understand when you have visuals.,"So this is one of the ones we did early last year, early on in our process, at the Boulevard of the Allies and Marion Street, just down the street from us."
I just wanted to share a quick example because I think it's easier to understand when you have visuals.,i,We are now in the process of completing three site visits in 2021.,So we are now in the process of completing three site visits in 2021.,"So this is one of the ones we did early last year, early on in our process, at the Boulevard of the Allies and Marion Street, just down the street from us.","We had two fatal crashes here last year And, as you can see on the left-hand side, that is the before."
"So this is one of the ones we did early last year, early on in our process, at the Boulevard of the Allies and Marion Street, just down the street from us.",i,So we are now in the process of completing three site visits in 2021.,I just wanted to share a quick example because I think it's easier to understand when you have visuals.,"We had two fatal crashes here last year And, as you can see on the left-hand side, that is the before.",So you can see that left turn lane.
"We had two fatal crashes here last year And, as you can see on the left-hand side, that is the before.",i,I just wanted to share a quick example because I think it's easier to understand when you have visuals.,"So this is one of the ones we did early last year, early on in our process, at the Boulevard of the Allies and Marion Street, just down the street from us.",So you can see that left turn lane.,That's actually an emergency-only lane.
So you can see that left turn lane.,i,"So this is one of the ones we did early last year, early on in our process, at the Boulevard of the Allies and Marion Street, just down the street from us.","We had two fatal crashes here last year And, as you can see on the left-hand side, that is the before.",That's actually an emergency-only lane.,"There is signage up, but the pavement markings only showed just a white diamond, which may have been confusing to folks."
That's actually an emergency-only lane.,i,"We had two fatal crashes here last year And, as you can see on the left-hand side, that is the before.",So you can see that left turn lane.,"There is signage up, but the pavement markings only showed just a white diamond, which may have been confusing to folks.","So what we did was work with PennDOT because it's their road, And we worked with them to get some yellow hatching to make it very clear that you should not be using this left turn lane as a turn lane or a turnaround."
"There is signage up, but the pavement markings only showed just a white diamond, which may have been confusing to folks.",i,So you can see that left turn lane.,That's actually an emergency-only lane.,"So what we did was work with PennDOT because it's their road, And we worked with them to get some yellow hatching to make it very clear that you should not be using this left turn lane as a turn lane or a turnaround.",We got increased signage up and we haven't seen any fatal crashes since.
"So what we did was work with PennDOT because it's their road, And we worked with them to get some yellow hatching to make it very clear that you should not be using this left turn lane as a turn lane or a turnaround.",i,That's actually an emergency-only lane.,"There is signage up, but the pavement markings only showed just a white diamond, which may have been confusing to folks.",We got increased signage up and we haven't seen any fatal crashes since.,"So we're going to go ahead and get started, Thank you."
We got increased signage up and we haven't seen any fatal crashes since.,i,"There is signage up, but the pavement markings only showed just a white diamond, which may have been confusing to folks.","So what we did was work with PennDOT because it's their road, And we worked with them to get some yellow hatching to make it very clear that you should not be using this left turn lane as a turn lane or a turnaround.","So we're going to go ahead and get started, Thank you.",This is also just a local example of Paulson and Rowan Street.
"So we're going to go ahead and get started, Thank you.",b,"So what we did was work with PennDOT because it's their road, And we worked with them to get some yellow hatching to make it very clear that you should not be using this left turn lane as a turn lane or a turnaround.",We got increased signage up and we haven't seen any fatal crashes since.,This is also just a local example of Paulson and Rowan Street.,We had seen a fatal crash here.
This is also just a local example of Paulson and Rowan Street.,b,We got increased signage up and we haven't seen any fatal crashes since.,"So we're going to go ahead and get started, Thank you.",We had seen a fatal crash here.,Somebody driving- we believe that he may not have known there was a curve.
We had seen a fatal crash here.,i,"So we're going to go ahead and get started, Thank you.",This is also just a local example of Paulson and Rowan Street.,Somebody driving- we believe that he may not have known there was a curve.,"So what we did was make sure that there was signage there to really make clear that you need to slow down, Do not speed through this intersection because there is a curve ahead."
Somebody driving- we believe that he may not have known there was a curve.,i,This is also just a local example of Paulson and Rowan Street.,We had seen a fatal crash here.,"So what we did was make sure that there was signage there to really make clear that you need to slow down, Do not speed through this intersection because there is a curve ahead.",So just making simple fixes can make it much safer.
"So what we did was make sure that there was signage there to really make clear that you need to slow down, Do not speed through this intersection because there is a curve ahead.",i,We had seen a fatal crash here.,Somebody driving- we believe that he may not have known there was a curve.,So just making simple fixes can make it much safer.,"Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you."
So just making simple fixes can make it much safer.,i,Somebody driving- we believe that he may not have known there was a curve.,"So what we did was make sure that there was signage there to really make clear that you need to slow down, Do not speed through this intersection because there is a curve ahead.","Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you.","And just to sum up, last year, which was year one of the initiative, we did see a decrease in traffic fatalities last year, with 17 total fatal crashes."
"Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you.",b,"So what we did was make sure that there was signage there to really make clear that you need to slow down, Do not speed through this intersection because there is a curve ahead.",So just making simple fixes can make it much safer.,"And just to sum up, last year, which was year one of the initiative, we did see a decrease in traffic fatalities last year, with 17 total fatal crashes.","Like I said, we know this number is 17 too many."
"And just to sum up, last year, which was year one of the initiative, we did see a decrease in traffic fatalities last year, with 17 total fatal crashes.",i,So just making simple fixes can make it much safer.,"Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you.","Like I said, we know this number is 17 too many.","It needs to be zero, But we're hoping this is on the right track And we know that the work is just beginning and it's not going to happen overnight overnight, but we feel we are making progress, breaking down barriers to coordination and we're looking forward to further collaboration with agencies, organizations and community members to achieve our goal."
"Like I said, we know this number is 17 too many.",i,"Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you.","And just to sum up, last year, which was year one of the initiative, we did see a decrease in traffic fatalities last year, with 17 total fatal crashes.","It needs to be zero, But we're hoping this is on the right track And we know that the work is just beginning and it's not going to happen overnight overnight, but we feel we are making progress, breaking down barriers to coordination and we're looking forward to further collaboration with agencies, organizations and community members to achieve our goal.","going into a little bit about our upcoming goals, we will be hosting a vision zero summit, a one-day summit with bike pittsburgh in fall of 2025, which we're really looking forward to."
"It needs to be zero, But we're hoping this is on the right track And we know that the work is just beginning and it's not going to happen overnight overnight, but we feel we are making progress, breaking down barriers to coordination and we're looking forward to further collaboration with agencies, organizations and community members to achieve our goal.",i,"And just to sum up, last year, which was year one of the initiative, we did see a decrease in traffic fatalities last year, with 17 total fatal crashes.","Like I said, we know this number is 17 too many.","going into a little bit about our upcoming goals, we will be hosting a vision zero summit, a one-day summit with bike pittsburgh in fall of 2025, which we're really looking forward to.",this will be a great opportunity for people to come out and learn more about the work we're doing and help kind of plan for the year ahead.
"going into a little bit about our upcoming goals, we will be hosting a vision zero summit, a one-day summit with bike pittsburgh in fall of 2025, which we're really looking forward to.",b,"Like I said, we know this number is 17 too many.","It needs to be zero, But we're hoping this is on the right track And we know that the work is just beginning and it's not going to happen overnight overnight, but we feel we are making progress, breaking down barriers to coordination and we're looking forward to further collaboration with agencies, organizations and community members to achieve our goal.",this will be a great opportunity for people to come out and learn more about the work we're doing and help kind of plan for the year ahead.,we'll be working on drafting and submitting a vision zero budget ask for 2026.
this will be a great opportunity for people to come out and learn more about the work we're doing and help kind of plan for the year ahead.,i,"It needs to be zero, But we're hoping this is on the right track And we know that the work is just beginning and it's not going to happen overnight overnight, but we feel we are making progress, breaking down barriers to coordination and we're looking forward to further collaboration with agencies, organizations and community members to achieve our goal.","going into a little bit about our upcoming goals, we will be hosting a vision zero summit, a one-day summit with bike pittsburgh in fall of 2025, which we're really looking forward to.",we'll be working on drafting and submitting a vision zero budget ask for 2026.,"that's cross-departmental, so it's not all just going to come from one department, because this is truly a cross-departmental issue."
we'll be working on drafting and submitting a vision zero budget ask for 2026.,i,"going into a little bit about our upcoming goals, we will be hosting a vision zero summit, a one-day summit with bike pittsburgh in fall of 2025, which we're really looking forward to.",this will be a great opportunity for people to come out and learn more about the work we're doing and help kind of plan for the year ahead.,"that's cross-departmental, so it's not all just going to come from one department, because this is truly a cross-departmental issue.",we'll be expanding the reach of the fatal crash response group by reviewing the data and the data that we're going to be using to help us with that.
"that's cross-departmental, so it's not all just going to come from one department, because this is truly a cross-departmental issue.",i,this will be a great opportunity for people to come out and learn more about the work we're doing and help kind of plan for the year ahead.,we'll be working on drafting and submitting a vision zero budget ask for 2026.,we'll be expanding the reach of the fatal crash response group by reviewing the data and the data that we're going to be using to help us with that.,"and we're also doing serious injury crashes and high crash police zones, starting with zone 2 with the intent to expand city-wide."
we'll be expanding the reach of the fatal crash response group by reviewing the data and the data that we're going to be using to help us with that.,i,we'll be working on drafting and submitting a vision zero budget ask for 2026.,"that's cross-departmental, so it's not all just going to come from one department, because this is truly a cross-departmental issue.","and we're also doing serious injury crashes and high crash police zones, starting with zone 2 with the intent to expand city-wide.",so making sure we're solving for the problem of that data lag by meeting on a more quarterly basis with commanders who can tell us what's going on in their zones.
"and we're also doing serious injury crashes and high crash police zones, starting with zone 2 with the intent to expand city-wide.",i,"that's cross-departmental, so it's not all just going to come from one department, because this is truly a cross-departmental issue.",we'll be expanding the reach of the fatal crash response group by reviewing the data and the data that we're going to be using to help us with that.,so making sure we're solving for the problem of that data lag by meeting on a more quarterly basis with commanders who can tell us what's going on in their zones.,"and finally, we'd like to establish a subcommittee that is focused on policy and legislative priorities so that we can make sure we're doing everything in our power to create safer streets in pittsburgh."
so making sure we're solving for the problem of that data lag by meeting on a more quarterly basis with commanders who can tell us what's going on in their zones.,i,we'll be expanding the reach of the fatal crash response group by reviewing the data and the data that we're going to be using to help us with that.,"and we're also doing serious injury crashes and high crash police zones, starting with zone 2 with the intent to expand city-wide.","and finally, we'd like to establish a subcommittee that is focused on policy and legislative priorities so that we can make sure we're doing everything in our power to create safer streets in pittsburgh.","so we do have the memo up on the vision zero engage page, along with our community safety agreement, which we encourage everybody listening to fill out, and i believe the memo will outline all of our action items."
"and finally, we'd like to establish a subcommittee that is focused on policy and legislative priorities so that we can make sure we're doing everything in our power to create safer streets in pittsburgh.",b,"and we're also doing serious injury crashes and high crash police zones, starting with zone 2 with the intent to expand city-wide.",so making sure we're solving for the problem of that data lag by meeting on a more quarterly basis with commanders who can tell us what's going on in their zones.,"so we do have the memo up on the vision zero engage page, along with our community safety agreement, which we encourage everybody listening to fill out, and i believe the memo will outline all of our action items.","they are color coded and we do have a majority of them that are either completed or on track for 2025 and for the rest of them, we're looking forward to getting those on their way."
"so we do have the memo up on the vision zero engage page, along with our community safety agreement, which we encourage everybody listening to fill out, and i believe the memo will outline all of our action items.",i,so making sure we're solving for the problem of that data lag by meeting on a more quarterly basis with commanders who can tell us what's going on in their zones.,"and finally, we'd like to establish a subcommittee that is focused on policy and legislative priorities so that we can make sure we're doing everything in our power to create safer streets in pittsburgh.","they are color coded and we do have a majority of them that are either completed or on track for 2025 and for the rest of them, we're looking forward to getting those on their way.",thank you great.
"they are color coded and we do have a majority of them that are either completed or on track for 2025 and for the rest of them, we're looking forward to getting those on their way.",i,"and finally, we'd like to establish a subcommittee that is focused on policy and legislative priorities so that we can make sure we're doing everything in our power to create safer streets in pittsburgh.","so we do have the memo up on the vision zero engage page, along with our community safety agreement, which we encourage everybody listening to fill out, and i believe the memo will outline all of our action items.",thank you great.,thank you very much.
thank you great.,i,"so we do have the memo up on the vision zero engage page, along with our community safety agreement, which we encourage everybody listening to fill out, and i believe the memo will outline all of our action items.","they are color coded and we do have a majority of them that are either completed or on track for 2025 and for the rest of them, we're looking forward to getting those on their way.",thank you very much.,does anyone else have anything to add?
thank you very much.,i,"they are color coded and we do have a majority of them that are either completed or on track for 2025 and for the rest of them, we're looking forward to getting those on their way.",thank you great.,does anyone else have anything to add?,before we move to to questions from members?
does anyone else have anything to add?,i,thank you great.,thank you very much.,before we move to to questions from members?,"no, okay, thank you."
before we move to to questions from members?,b,thank you very much.,does anyone else have anything to add?,"no, okay, thank you.",i want to thank you everyone for being here today.
"no, okay, thank you.",b,does anyone else have anything to add?,before we move to to questions from members?,i want to thank you everyone for being here today.,thank you for that a very detailed presentation.
i want to thank you everyone for being here today.,b,before we move to to questions from members?,"no, okay, thank you.",thank you for that a very detailed presentation.,"my first question is: you know, whether here locally or nationally, what is your role in this situation?"
thank you for that a very detailed presentation.,i,"no, okay, thank you.",i want to thank you everyone for being here today.,"my first question is: you know, whether here locally or nationally, what is your role in this situation?",i think that is a critical question.
"my first question is: you know, whether here locally or nationally, what is your role in this situation?",b,i want to thank you everyone for being here today.,thank you for that a very detailed presentation.,i think that is a critical question.,"yeah, thank you."
i think that is a critical question.,i,thank you for that a very detailed presentation.,"my first question is: you know, whether here locally or nationally, what is your role in this situation?","yeah, thank you.",are there successful examples and best practices around education and advocacy programs?
"yeah, thank you.",i,"my first question is: you know, whether here locally or nationally, what is your role in this situation?",i think that is a critical question.,are there successful examples and best practices around education and advocacy programs?,"The reason why I ask that question, as Angie knows, I constantly are sending emails over to Domi from the numerous traffic common requests we get from residents all over the city, And I know there used to be the old saying: everybody wants a chicken in every pot and a cop on every block."
are there successful examples and best practices around education and advocacy programs?,b,i think that is a critical question.,"yeah, thank you.","The reason why I ask that question, as Angie knows, I constantly are sending emails over to Domi from the numerous traffic common requests we get from residents all over the city, And I know there used to be the old saying: everybody wants a chicken in every pot and a cop on every block.","I think nowadays everybody wants a speed bump on their street And we know that it's just not conceivable to have a speed bump on every single street And we can only do so much from where we sit to manage people's driving behavior, And I try to get that across to our residents."
"The reason why I ask that question, as Angie knows, I constantly are sending emails over to Domi from the numerous traffic common requests we get from residents all over the city, And I know there used to be the old saying: everybody wants a chicken in every pot and a cop on every block.",i,"yeah, thank you.",are there successful examples and best practices around education and advocacy programs?,"I think nowadays everybody wants a speed bump on their street And we know that it's just not conceivable to have a speed bump on every single street And we can only do so much from where we sit to manage people's driving behavior, And I try to get that across to our residents.","I just got an email, actually this morning, about a near accident over in the Friendship community where someone was speeding and almost hit a car, Hit a family, And I know that as much as we would love to be able to do traffic calming on every single block in the entire city, we just know that's not reality."
"I think nowadays everybody wants a speed bump on their street And we know that it's just not conceivable to have a speed bump on every single street And we can only do so much from where we sit to manage people's driving behavior, And I try to get that across to our residents.",i,are there successful examples and best practices around education and advocacy programs?,"The reason why I ask that question, as Angie knows, I constantly are sending emails over to Domi from the numerous traffic common requests we get from residents all over the city, And I know there used to be the old saying: everybody wants a chicken in every pot and a cop on every block.","I just got an email, actually this morning, about a near accident over in the Friendship community where someone was speeding and almost hit a car, Hit a family, And I know that as much as we would love to be able to do traffic calming on every single block in the entire city, we just know that's not reality.",But can you speak to- or you or anyone else on the panel can speak to- successful education and advocacy programs that have shown the change of behavior over time?
"I just got an email, actually this morning, about a near accident over in the Friendship community where someone was speeding and almost hit a car, Hit a family, And I know that as much as we would love to be able to do traffic calming on every single block in the entire city, we just know that's not reality.",i,"The reason why I ask that question, as Angie knows, I constantly are sending emails over to Domi from the numerous traffic common requests we get from residents all over the city, And I know there used to be the old saying: everybody wants a chicken in every pot and a cop on every block.","I think nowadays everybody wants a speed bump on their street And we know that it's just not conceivable to have a speed bump on every single street And we can only do so much from where we sit to manage people's driving behavior, And I try to get that across to our residents.",But can you speak to- or you or anyone else on the panel can speak to- successful education and advocacy programs that have shown the change of behavior over time?,"Because unless people drive more responsibly, there's only so much that we can do around traffic calming and interventions we can make."
But can you speak to- or you or anyone else on the panel can speak to- successful education and advocacy programs that have shown the change of behavior over time?,b,"I think nowadays everybody wants a speed bump on their street And we know that it's just not conceivable to have a speed bump on every single street And we can only do so much from where we sit to manage people's driving behavior, And I try to get that across to our residents.","I just got an email, actually this morning, about a near accident over in the Friendship community where someone was speeding and almost hit a car, Hit a family, And I know that as much as we would love to be able to do traffic calming on every single block in the entire city, we just know that's not reality.","Because unless people drive more responsibly, there's only so much that we can do around traffic calming and interventions we can make.",So I'm just curious to know if you have any thoughts on that.
"Because unless people drive more responsibly, there's only so much that we can do around traffic calming and interventions we can make.",i,"I just got an email, actually this morning, about a near accident over in the Friendship community where someone was speeding and almost hit a car, Hit a family, And I know that as much as we would love to be able to do traffic calming on every single block in the entire city, we just know that's not reality.",But can you speak to- or you or anyone else on the panel can speak to- successful education and advocacy programs that have shown the change of behavior over time?,So I'm just curious to know if you have any thoughts on that.,I'd like to go ahead and start to address that comment.
So I'm just curious to know if you have any thoughts on that.,i,But can you speak to- or you or anyone else on the panel can speak to- successful education and advocacy programs that have shown the change of behavior over time?,"Because unless people drive more responsibly, there's only so much that we can do around traffic calming and interventions we can make.",I'd like to go ahead and start to address that comment.,"So this is Angie with Domi And I have to say exactly So that is why we are doing a Vision Zero initiative, Because we know that roadway safety is not going to be end all be all roadway design or infrastructure solutions."
I'd like to go ahead and start to address that comment.,i,"Because unless people drive more responsibly, there's only so much that we can do around traffic calming and interventions we can make.",So I'm just curious to know if you have any thoughts on that.,"So this is Angie with Domi And I have to say exactly So that is why we are doing a Vision Zero initiative, Because we know that roadway safety is not going to be end all be all roadway design or infrastructure solutions.","We know that we have to get at the behavior of everyone, Whether they are driving, Whether they are walking, Using a mobility assisted device Or on a bike or other sort of conveyance."
"So this is Angie with Domi And I have to say exactly So that is why we are doing a Vision Zero initiative, Because we know that roadway safety is not going to be end all be all roadway design or infrastructure solutions.",i,So I'm just curious to know if you have any thoughts on that.,I'd like to go ahead and start to address that comment.,"We know that we have to get at the behavior of everyone, Whether they are driving, Whether they are walking, Using a mobility assisted device Or on a bike or other sort of conveyance.","And so I think we did look at best practices And what we've seen, and we are by no means the first city to do a Vision Zero program."
"We know that we have to get at the behavior of everyone, Whether they are driving, Whether they are walking, Using a mobility assisted device Or on a bike or other sort of conveyance.",i,I'd like to go ahead and start to address that comment.,"So this is Angie with Domi And I have to say exactly So that is why we are doing a Vision Zero initiative, Because we know that roadway safety is not going to be end all be all roadway design or infrastructure solutions.","And so I think we did look at best practices And what we've seen, and we are by no means the first city to do a Vision Zero program.",I think we have actually really benefited in some ways from coming along a little bit later in the game.
"And so I think we did look at best practices And what we've seen, and we are by no means the first city to do a Vision Zero program.",i,"So this is Angie with Domi And I have to say exactly So that is why we are doing a Vision Zero initiative, Because we know that roadway safety is not going to be end all be all roadway design or infrastructure solutions.","We know that we have to get at the behavior of everyone, Whether they are driving, Whether they are walking, Using a mobility assisted device Or on a bike or other sort of conveyance.",I think we have actually really benefited in some ways from coming along a little bit later in the game.,"We've seen these policies and programs take root Nationally, internationally And even within the state of Pennsylvania."
I think we have actually really benefited in some ways from coming along a little bit later in the game.,i,"We know that we have to get at the behavior of everyone, Whether they are driving, Whether they are walking, Using a mobility assisted device Or on a bike or other sort of conveyance.","And so I think we did look at best practices And what we've seen, and we are by no means the first city to do a Vision Zero program.","We've seen these policies and programs take root Nationally, internationally And even within the state of Pennsylvania.",So we're here to really say these things work.
"We've seen these policies and programs take root Nationally, internationally And even within the state of Pennsylvania.",i,"And so I think we did look at best practices And what we've seen, and we are by no means the first city to do a Vision Zero program.",I think we have actually really benefited in some ways from coming along a little bit later in the game.,So we're here to really say these things work.,"Safety can't wait From the Domi perspective, But we need residents, visitors, Everybody in the city of Pittsburgh, to understand the importance of roadway safety and rules of the roads."
So we're here to really say these things work.,i,I think we have actually really benefited in some ways from coming along a little bit later in the game.,"We've seen these policies and programs take root Nationally, internationally And even within the state of Pennsylvania.","Safety can't wait From the Domi perspective, But we need residents, visitors, Everybody in the city of Pittsburgh, to understand the importance of roadway safety and rules of the roads.","But we also want them to drive with compassion And to think about other, the experience of others, as they're moving through our city."
"Safety can't wait From the Domi perspective, But we need residents, visitors, Everybody in the city of Pittsburgh, to understand the importance of roadway safety and rules of the roads.",b,"We've seen these policies and programs take root Nationally, internationally And even within the state of Pennsylvania.",So we're here to really say these things work.,"But we also want them to drive with compassion And to think about other, the experience of others, as they're moving through our city.","And the only thing that I can say is that, you know, we've been here for a long time And we've been here for a long time And we've been here for a long time And we've been here for a long time And we've been here for a long time, And the only way we're going to accomplish that is by working holistically And beyond just a Department of Transportation."
"But we also want them to drive with compassion And to think about other, the experience of others, as they're moving through our city.",i,So we're here to really say these things work.,"Safety can't wait From the Domi perspective, But we need residents, visitors, Everybody in the city of Pittsburgh, to understand the importance of roadway safety and rules of the roads.","And the only thing that I can say is that, you know, we've been here for a long time And we've been here for a long time And we've been here for a long time And we've been here for a long time And we've been here for a long time, And the only way we're going to accomplish that is by working holistically And beyond just a Department of Transportation.","So I have been so gratified and really pleased with, I think, the diversity of representation we've had from various city and external departments."
"And the only thing that I can say is that, you know, we've been here for a long time And we've been here for a long time And we've been here for a long time And we've been here for a long time And we've been here for a long time, And the only way we're going to accomplish that is by working holistically And beyond just a Department of Transportation.",i,"Safety can't wait From the Domi perspective, But we need residents, visitors, Everybody in the city of Pittsburgh, to understand the importance of roadway safety and rules of the roads.","But we also want them to drive with compassion And to think about other, the experience of others, as they're moving through our city.","So I have been so gratified and really pleased with, I think, the diversity of representation we've had from various city and external departments.","You know, having our Safer Together coordinators, who receive a lot of those same 311s that ultimately come to Domi, Having parking authority who's got the sort of enforcement capacity and has to deal with."
"So I have been so gratified and really pleased with, I think, the diversity of representation we've had from various city and external departments.",i,"But we also want them to drive with compassion And to think about other, the experience of others, as they're moving through our city.","And the only thing that I can say is that, you know, we've been here for a long time And we've been here for a long time And we've been here for a long time And we've been here for a long time And we've been here for a long time, And the only way we're going to accomplish that is by working holistically And beyond just a Department of Transportation.","You know, having our Safer Together coordinators, who receive a lot of those same 311s that ultimately come to Domi, Having parking authority who's got the sort of enforcement capacity and has to deal with.","you know, processing violations for some of these types of behaviors really starts with getting everybody in the room and understanding what our respective roles are."
"You know, having our Safer Together coordinators, who receive a lot of those same 311s that ultimately come to Domi, Having parking authority who's got the sort of enforcement capacity and has to deal with.",i,"And the only thing that I can say is that, you know, we've been here for a long time And we've been here for a long time And we've been here for a long time And we've been here for a long time And we've been here for a long time, And the only way we're going to accomplish that is by working holistically And beyond just a Department of Transportation.","So I have been so gratified and really pleased with, I think, the diversity of representation we've had from various city and external departments.","you know, processing violations for some of these types of behaviors really starts with getting everybody in the room and understanding what our respective roles are.","And then, I think, more outlets like this so that members of council and, by extension, the public can see the work that we're doing, that we're collaborating, that we know the solutions go beyond just in small speed humps."
"you know, processing violations for some of these types of behaviors really starts with getting everybody in the room and understanding what our respective roles are.",i,"So I have been so gratified and really pleased with, I think, the diversity of representation we've had from various city and external departments.","You know, having our Safer Together coordinators, who receive a lot of those same 311s that ultimately come to Domi, Having parking authority who's got the sort of enforcement capacity and has to deal with.","And then, I think, more outlets like this so that members of council and, by extension, the public can see the work that we're doing, that we're collaborating, that we know the solutions go beyond just in small speed humps.","And so we've, we plan on doing a number of behavioral or more education campaigns."
"And then, I think, more outlets like this so that members of council and, by extension, the public can see the work that we're doing, that we're collaborating, that we know the solutions go beyond just in small speed humps.",i,"You know, having our Safer Together coordinators, who receive a lot of those same 311s that ultimately come to Domi, Having parking authority who's got the sort of enforcement capacity and has to deal with.","you know, processing violations for some of these types of behaviors really starts with getting everybody in the room and understanding what our respective roles are.","And so we've, we plan on doing a number of behavioral or more education campaigns.","One of the ones that I was able to take a part of this year was the safety pledge that our education and communications committee put together with Harriet Jackson, who's our Safe Routes to School coordinator."
"And so we've, we plan on doing a number of behavioral or more education campaigns.",i,"you know, processing violations for some of these types of behaviors really starts with getting everybody in the room and understanding what our respective roles are.","And then, I think, more outlets like this so that members of council and, by extension, the public can see the work that we're doing, that we're collaborating, that we know the solutions go beyond just in small speed humps.","One of the ones that I was able to take a part of this year was the safety pledge that our education and communications committee put together with Harriet Jackson, who's our Safe Routes to School coordinator.","We were at Propel Northside for safety week, talking to- I believe it was- fifth graders And we walked them through the safety pledge And they all signed the pledge and got a seat Sticker that they would, you know, follow the rules of the road and look out for others, So that safety pledge would not have happened."
"One of the ones that I was able to take a part of this year was the safety pledge that our education and communications committee put together with Harriet Jackson, who's our Safe Routes to School coordinator.",i,"And then, I think, more outlets like this so that members of council and, by extension, the public can see the work that we're doing, that we're collaborating, that we know the solutions go beyond just in small speed humps.","And so we've, we plan on doing a number of behavioral or more education campaigns.","We were at Propel Northside for safety week, talking to- I believe it was- fifth graders And we walked them through the safety pledge And they all signed the pledge and got a seat Sticker that they would, you know, follow the rules of the road and look out for others, So that safety pledge would not have happened.","We would not have had that material to present to our Northside Propel scholars if Vision Zero hadn't convened, if we weren't able to use both our education committee and our Complete Streets Advisory Group as external reviewers of the materials."
"We were at Propel Northside for safety week, talking to- I believe it was- fifth graders And we walked them through the safety pledge And they all signed the pledge and got a seat Sticker that they would, you know, follow the rules of the road and look out for others, So that safety pledge would not have happened.",i,"And so we've, we plan on doing a number of behavioral or more education campaigns.","One of the ones that I was able to take a part of this year was the safety pledge that our education and communications committee put together with Harriet Jackson, who's our Safe Routes to School coordinator.","We would not have had that material to present to our Northside Propel scholars if Vision Zero hadn't convened, if we weren't able to use both our education committee and our Complete Streets Advisory Group as external reviewers of the materials.","So that, I think, is just one example of something that we were able to do sort of on the education piece And if there's anything that anyone else wants to add."
"We would not have had that material to present to our Northside Propel scholars if Vision Zero hadn't convened, if we weren't able to use both our education committee and our Complete Streets Advisory Group as external reviewers of the materials.",i,"One of the ones that I was able to take a part of this year was the safety pledge that our education and communications committee put together with Harriet Jackson, who's our Safe Routes to School coordinator.","We were at Propel Northside for safety week, talking to- I believe it was- fifth graders And we walked them through the safety pledge And they all signed the pledge and got a seat Sticker that they would, you know, follow the rules of the road and look out for others, So that safety pledge would not have happened.","So that, I think, is just one example of something that we were able to do sort of on the education piece And if there's anything that anyone else wants to add.","But, Panini, you go first, Councilman, to answer your question."
